trading_date,rank,volume,volume_change
2016-07-26,55,19,0
2016-07-27,55,20,1
2016-07-28,55,20,0
2016-07-29,55,17,-3
2016-08-01,45,18,1
2016-08-02,45,17,-1
2016-08-03,36,17,0
2016-08-04,36,17,0
2016-08-05,36,17,0
2016-08-08,36,17,0
2016-08-09,45,19,2
2016-08-10,55,22,3
2016-08-11,55,22,0
2016-08-12,55,25,3
2016-08-15,55,28,3
2016-08-16,45,28,0
2016-08-17,45,27,-1
2016-08-18,45,27,0
2016-08-19,45,25,-2
2016-08-22,45,24,-1
2016-08-23,55,24,0
2016-08-24,55,26,2
2016-08-25,55,26,0
2016-08-26,55,25,-1
2016-08-29,55,28,3
2016-08-30,55,27,-1
2016-08-31,55,26,-1
2016-09-01,55,26,0
2016-09-02,36,26,0
2016-09-05,36,26,0
2016-09-06,36,26,0
2016-09-07,36,24,-2
2016-09-08,36,24,0
2016-09-09,36,24,0
2016-09-12,36,24,0
2016-09-13,36,24,0
2016-09-14,36,24,0
2016-09-19,36,24,0
2016-09-20,36,24,0
2016-09-21,36,23,-1
2016-09-22,36,23,0
2016-09-23,36,23,0
2016-09-26,36,23,0
2016-09-27,36,23,0
2016-09-28,36,23,0
2016-09-29,45,25,2
2016-09-30,36,25,0
2016-10-10,36,25,0
2016-10-11,36,24,-1
2016-10-12,28,24,0
2016-10-13,28,24,0
2016-10-14,28,24,0
2016-10-17,28,24,0
2016-10-18,36,23,-1
2016-10-19,36,23,0
2016-10-20,36,20,-3
2016-10-21,28,18,-2
2016-10-24,28,14,-4
2016-10-25,28,14,0
2016-10-26,28,14,0
2016-10-27,28,14,0
2016-10-28,28,16,2
2016-10-31,36,13,-3
2016-11-01,15,12,-1
2016-11-02,10,12,0
2016-11-03,10,12,0
2016-11-04,10,12,0
2016-11-07,10,12,0
2016-11-08,10,12,0
2016-11-09,10,12,0
2016-11-10,10,12,0
2016-11-11,10,13,1
2016-11-14,10,13,0
2016-11-15,10,14,1
2016-11-16,10,13,-1
2016-11-17,15,14,1
2016-11-18,15,14,0
2016-11-21,15,14,0
2016-11-22,15,15,1
2016-11-23,15,14,-1
2016-11-24,15,15,1
2016-11-25,15,15,0
2016-11-28,15,15,0
2016-11-29,15,15,0
2016-11-30,15,15,0
2016-12-01,15,15,0
2016-12-02,15,14,-1
2016-12-05,15,14,0
2016-12-06,21,15,1
2016-12-07,15,15,0
2016-12-08,15,12,-3
2016-12-09,10,11,-1
2016-12-12,6,11,0
2016-12-13,6,11,0
2016-12-14,6,11,0
2016-12-15,6,11,0
2016-12-16,6,10,-1
2016-12-19,6,10,0
2016-12-20,6,10,0
2016-12-21,6,10,0
2016-12-22,6,11,1
2016-12-23,6,11,0
2016-12-26,6,11,0
2016-12-27,6,11,0
2016-12-28,6,11,0
2016-12-29,6,11,0
2016-12-30,6,11,0
2017-01-03,6,11,0
2017-01-04,10,34,23
2017-01-05,10,33,-1
2017-01-06,15,12,-21
2017-01-09,10,11,-1
2017-01-10,6,11,0
2017-01-11,6,11,0
2017-01-12,6,11,0
2017-01-13,6,12,1
2017-01-16,6,10,-2
2017-01-17,6,10,0
2017-01-18,6,11,1
2017-01-19,6,12,1
2017-01-20,6,12,0
2017-01-23,6,12,0
2017-01-24,6,12,0
2017-01-25,6,11,-1
2017-01-26,3,11,0
2017-02-03,3,11,0
2017-02-06,3,10,-1
2017-02-07,3,10,0
2017-02-08,3,10,0
2017-02-09,6,10,0
2017-02-10,6,10,0
2017-02-13,6,10,0
2017-02-14,6,10,0
2017-02-15,10,10,0
2017-02-16,6,10,0
2017-02-17,6,10,0
2017-02-20,6,10,0
2017-02-21,6,10,0
2017-02-22,10,10,0
2017-02-23,10,10,0
2017-02-24,10,9,-1
2017-02-27,10,9,0
2017-02-28,10,8,-1
2017-03-01,6,6,-2
2017-03-02,3,6,0
2017-03-03,3,6,0
2017-03-06,3,6,0
2017-03-07,3,6,0
2017-03-08,3,6,0
2017-03-09,3,6,0
2017-03-10,3,6,0
2017-03-13,3,6,0
2017-03-14,3,5,-1
2017-03-15,6,5,0
2017-03-16,6,2,-3
2017-03-17,6,5,3
2017-03-20,6,5,0
2017-03-21,6,5,0
2017-03-22,6,5,0
2017-03-23,15,8,3
2017-03-24,10,8,0
2017-03-27,6,7,-1
2017-03-28,3,10,3
2017-03-29,3,10,0
2017-03-30,6,11,1
2017-03-31,6,11,0
2017-04-05,6,11,0
2017-04-06,6,11,0
2017-04-07,6,11,0
2017-04-10,15,10,-1
2017-04-11,15,8,-2
2017-04-12,10,10,2
2017-04-13,10,9,-1
2017-04-14,6,9,0
2017-04-17,6,9,0
2017-04-18,6,12,3
2017-04-19,6,12,0
2017-04-20,6,9,-3
2017-04-21,6,10,1
2017-04-24,6,9,-1
2017-04-25,21,8,-1
2017-04-26,21,8,0
2017-04-27,28,8,0
2017-04-28,36,8,0
2017-05-02,28,9,1
2017-05-03,28,9,0
2017-05-04,28,9,0
2017-05-05,36,9,0
2017-05-08,28,10,1
2017-05-09,36,9,-1
2017-05-10,28,9,0
2017-05-11,36,9,0
2017-05-12,36,10,1
2017-05-15,36,10,0
2017-05-16,36,9,-1
2017-05-17,28,9,0
2017-05-18,28,9,0
2017-05-19,28,9,0
2017-05-22,28,7,-2
2017-05-23,21,8,1
2017-05-24,21,8,0
2017-05-25,21,8,0
2017-05-26,21,8,0
2017-05-31,136,76,68
2017-06-01,136,89,13
2017-06-02,136,99,10
2017-06-05,190,158,59
2017-06-06,171,157,-1
2017-06-07,153,409,252
2017-06-08,120,419,10
2017-06-09,105,427,8
2017-06-12,136,450,23
2017-06-13,171,455,5
2017-06-14,153,445,-10
2017-06-15,105,445,0
2017-06-16,120,431,-14
2017-06-19,105,427,-4
2017-06-20,78,424,-3
2017-06-21,78,422,-2
2017-06-22,55,422,0
2017-06-23,55,472,50
2017-06-26,66,502,30
2017-06-27,66,496,-6
2017-06-28,45,546,50
2017-06-29,45,551,5
2017-06-30,45,548,-3
2017-07-03,45,547,-1
2017-07-04,55,545,-2
2017-07-05,55,545,0
2017-07-06,55,542,-3
2017-07-07,45,542,0
2017-07-10,55,543,1
2017-07-11,55,542,-1
2017-07-12,45,542,0
2017-07-13,55,545,3
2017-07-14,55,543,-2
2017-07-17,36,544,1
2017-07-18,36,544,0
2017-07-19,36,543,-1
2017-07-20,36,543,0
2017-07-21,36,543,0
2017-07-24,45,545,2
2017-07-25,45,543,-2
2017-07-26,36,543,0
2017-07-27,36,542,-1
2017-07-28,36,543,1
2017-07-31,36,543,0
2017-08-01,36,542,-1
2017-08-02,36,542,0
2017-08-03,45,549,7
2017-08-04,45,545,-4
2017-08-07,36,545,0
2017-08-08,36,546,1
2017-08-09,36,547,1
2017-08-10,36,545,-2
2017-08-11,28,545,0
2017-08-14,28,545,0
2017-08-15,28,545,0
2017-08-16,45,545,0
2017-08-17,45,544,-1
2017-08-18,36,543,-1
2017-08-21,28,543,0
2017-08-22,28,543,0
2017-08-23,28,543,0
2017-08-24,28,543,0
2017-08-25,55,548,5
2017-08-28,45,546,-2
2017-08-29,36,546,0
2017-08-30,36,546,0
2017-08-31,36,546,0
2017-09-01,36,554,8
2017-09-04,45,562,8
2017-09-05,45,565,3
2017-09-06,28,565,0
2017-09-07,28,565,0
2017-09-08,28,565,0
2017-09-11,28,565,0
2017-09-12,28,565,0
2017-09-13,28,565,0
2017-09-14,36,566,1
2017-09-15,36,565,-1
2017-09-18,28,565,0
2017-09-19,28,665,100
2017-09-20,36,666,1
2017-09-21,36,665,-1
2017-09-22,28,665,0
2017-09-25,28,665,0
2017-09-26,45,665,0
2017-09-27,78,666,1
2017-09-28,66,666,0
2017-09-29,55,665,-1
2017-10-09,55,664,-1
2017-10-10,78,614,-50
2017-10-11,78,614,0
2017-10-12,66,614,0
2017-10-13,66,614,0
2017-10-16,91,613,-1
2017-10-17,66,611,-2
2017-10-18,45,611,0
2017-10-19,45,611,0
2017-10-20,45,609,-2
2017-10-23,28,608,-1
2017-10-24,21,624,16
2017-10-25,21,704,80
2017-10-26,36,790,86
2017-10-27,45,817,27
2017-10-30,78,1033,216
2017-10-31,78,1452,419
2017-11-01,78,1907,455
2017-11-02,105,2288,381
2017-11-03,171,2501,213
2017-11-06,171,2205,-296
2017-11-07,190,2736,531
2017-11-08,210,3685,951
2017-11-09,210,4281,602
2017-11-10,210,4781,504
2017-11-13,171,5112,331
2017-11-14,171,5307,195
2017-11-15,190,5266,-41
2017-11-16,171,5282,16
2017-11-17,171,5771,489
2017-11-20,210,5903,132
2017-11-21,210,5919,17
2017-11-22,190,5960,41
2017-11-23,171,6162,202
2017-11-24,190,6060,-102
2017-11-27,210,6114,59
2017-11-28,190,6116,2
2017-11-29,210,6124,8
2017-11-30,210,6127,3
2017-12-01,171,6104,-23
2017-12-04,153,5752,-352
2017-12-05,171,5703,-49
2017-12-06,171,5652,-51
2017-12-07,190,5609,-43
2017-12-08,210,5597,-6
2017-12-11,210,5594,-3
2017-12-12,190,5576,-18
2017-12-13,153,5572,-4
2017-12-14,153,5564,-8
2017-12-15,171,5563,-1
2017-12-18,210,5381,-181
2017-12-19,210,5369,-12
2017-12-20,210,5377,8
2017-12-21,210,4975,-402
2017-12-22,190,4964,-11
2017-12-25,171,4965,1
2017-12-26,171,4728,-237
2017-12-27,153,4734,6
2017-12-28,136,4328,-406
2017-12-29,136,4237,-91
2018-01-02,210,4743,507
2018-01-03,210,12165,7433
2018-01-04,210,15428,3271
2018-01-05,210,16891,1506
2018-01-08,210,18060,1169
2018-01-09,210,18685,775
2018-01-10,210,18388,-189
2018-01-11,210,20412,2224
2018-01-12,210,20324,-88
2018-01-15,210,20799,859
2018-01-16,210,21883,1085
2018-01-17,210,22000,737
2018-01-18,210,24793,3710
2018-01-19,210,21686,-3100
2018-01-22,210,23639,2153
2018-01-23,210,23102,-528
2018-01-24,210,21146,-1960
2018-01-25,210,23861,4527
2018-01-26,210,22910,-961
2018-01-29,210,22639,-271
2018-01-30,210,20983,-1645
2018-01-31,210,21271,287
2018-02-01,210,22659,3943
2018-02-02,210,22543,2096
2018-02-05,210,20713,112
2018-02-06,210,20102,695
2018-02-07,210,25312,6390
2018-02-08,210,25684,2588
2018-02-09,210,26419,1439
2018-02-12,210,21986,-353
2018-02-13,210,18684,-1337
2018-02-14,210,16094,-1957
2018-02-22,210,18215,2202
2018-02-23,210,22036,6180
2018-02-26,210,23067,1113
2018-02-27,210,21740,-1327
2018-02-28,210,21943,203
2018-03-01,210,17759,-1724
2018-03-02,210,21546,6686
2018-03-05,210,19217,-2060
2018-03-06,210,20270,2835
2018-03-07,210,19115,-809
2018-03-08,210,20637,5003
2018-03-09,210,24862,6312
2018-03-12,210,26769,3571
2018-03-13,210,28438,4534
2018-03-14,210,22046,-325
2018-03-15,210,24275,4082
2018-03-16,210,22093,971
2018-03-19,210,23728,3249
2018-03-20,210,23781,860
2018-03-21,210,23030,-405
2018-03-22,210,22126,292
2018-03-23,210,23074,1318
2018-03-26,210,23870,346
2018-03-27,210,22514,-449
2018-03-28,210,21528,-497
2018-03-29,210,21157,-383
2018-03-30,210,20928,604
2018-04-02,210,23995,5162
2018-04-03,210,25613,7155
2018-04-04,210,25846,4012
2018-04-09,210,26191,3366
2018-04-10,210,27198,3371
2018-04-11,210,26602,1366
2018-04-12,210,24721,1132
2018-04-13,210,25135,2843
2018-04-16,210,28561,4439
2018-04-17,210,29185,2416
2018-04-18,210,29054,2121
2018-04-19,210,28008,577
2018-04-20,210,26877,-533
2018-04-23,210,26539,978
2018-04-24,210,25825,875
2018-04-25,210,25878,1926
2018-04-26,210,26001,-489
2018-04-27,210,24482,326
2018-05-02,210,27670,5944
2018-05-03,210,27039,622
2018-05-04,210,28830,5875
2018-05-07,210,30758,3509
2018-05-08,210,29820,2446
2018-05-09,210,25756,-1756
2018-05-10,210,27151,1470
2018-05-11,210,29087,4066
2018-05-14,210,28676,651
2018-05-15,210,29825,2656
2018-05-16,210,31291,2433
2018-05-17,210,29503,-927
2018-05-18,210,27897,2688
2018-05-21,210,29159,2957
2018-05-22,210,29206,-123
2018-05-23,210,27868,1517
2018-05-24,210,28584,1039
2018-05-25,210,27434,-458
2018-05-28,210,28670,1088
2018-05-29,210,28676,6
2018-05-30,210,28611,-20
2018-05-31,210,27832,-327
2018-06-01,210,31992,7836
2018-06-04,210,29945,-945
2018-06-05,210,26494,363
2018-06-06,210,24533,-970
2018-06-07,210,26300,1872
2018-06-08,210,23071,-1370
2018-06-11,210,21605,1037
2018-06-12,210,21157,1053
2018-06-13,210,19644,708
2018-06-14,210,20221,1223
2018-06-15,210,21605,2466
2018-06-19,210,23877,2678
2018-06-20,210,24204,-106
2018-06-21,210,24163,1389
2018-06-22,210,22527,-280
2018-06-25,210,22065,204
2018-06-26,210,21122,-14
2018-06-27,210,24154,1560
2018-06-28,210,23428,-110
2018-06-29,210,23796,188
2018-07-02,210,23545,2893
2018-07-03,210,23224,677
2018-07-04,210,23099,946
2018-07-05,210,22591,558
2018-07-06,210,22291,-300
2018-07-09,210,21865,-426
2018-07-10,210,22806,1701
2018-07-11,210,23858,1690
2018-07-12,210,22641,-367
2018-07-13,210,21160,-2362
2018-07-16,210,20115,-314
2018-07-17,210,21539,2085
2018-07-18,210,23229,1589
2018-07-19,210,20080,-373
2018-07-20,210,20352,653
2018-07-23,210,19235,1069
2018-07-24,210,19609,-277
2018-07-25,210,18527,1159
2018-07-26,210,18512,121
2018-07-27,210,20281,2193
2018-07-30,210,22419,2614
2018-07-31,210,20870,-693
2018-08-01,210,24106,1770
2018-08-02,210,22612,518
2018-08-03,210,22572,1544
2018-08-06,210,22459,1574
2018-08-07,210,23511,1917
2018-08-08,210,21738,3490
2018-08-09,210,21701,2527
2018-08-10,210,27672,7156
2018-08-13,210,28954,1573
2018-08-14,210,29180,685
2018-08-15,210,29341,3724
2018-08-16,210,29711,398
2018-08-17,210,27193,-288
2018-08-20,210,29011,1987
2018-08-21,210,29479,123
2018-08-22,210,30919,1694
2018-08-23,210,31457,2058
2018-08-24,210,30902,94
2018-08-27,210,31945,1122
2018-08-28,210,32328,297
2018-08-29,210,31665,588
2018-08-30,210,28763,1426
2018-08-31,210,30238,3243
2018-09-03,210,31500,1835
2018-09-04,210,32009,1259
2018-09-05,210,30945,1272
2018-09-06,210,30533,-251
2018-09-07,210,31732,2220
2018-09-10,210,37092,4621
2018-09-11,210,38063,1419
2018-09-12,210,37301,109
2018-09-13,210,38178,1220
2018-09-14,210,37495,-664
2018-09-17,210,35569,-1651
2018-09-18,210,34404,-3012
2018-09-19,210,33303,-60
2018-09-20,210,34485,915
2018-09-21,210,33106,161
2018-09-25,210,34488,1400
2018-09-26,210,33910,40
2018-09-27,210,31273,-498
2018-09-28,210,31167,-902
2018-10-08,210,32938,2298
2018-10-09,210,33387,1118
2018-10-10,210,30817,296
2018-10-11,210,31722,1707
2018-10-12,210,32407,1490
2018-10-15,210,30501,-96
2018-10-16,210,30561,60
2018-10-17,210,30761,827
2018-10-18,210,30825,233
2018-10-19,210,32190,1139
2018-10-22,210,34145,1471
2018-10-23,210,32511,-1390
2018-10-24,210,32128,-477
2018-10-25,210,32065,1157
2018-10-26,210,31692,627
2018-10-29,210,31564,321
2018-10-30,210,31085,795
2018-10-31,210,29555,-197
2018-11-01,210,30879,1975
2018-11-02,210,34334,3186
2018-11-05,210,32366,-1560
2018-11-06,210,31843,-523
2018-11-07,210,31430,963
2018-11-08,210,31188,-44
2018-11-09,210,30769,1504
2018-11-12,210,31668,2021
2018-11-13,210,32112,-17
2018-11-14,210,32651,2701
2018-11-15,210,33972,2710
