trading_date,rank,volume,volume_change
2018-11-28,210,26720,7684
2018-11-29,210,27522,3360
2018-11-30,210,33477,6294
2018-12-03,210,52431,21565
2018-12-04,210,48668,-224
2018-12-05,210,42320,-1375
2018-12-06,210,45553,4584
2018-12-07,210,46223,3667
2018-12-10,210,46469,1338
2018-12-11,210,45911,1308
2018-12-12,210,42053,-3081
2018-12-13,210,36341,-5491
2018-12-14,210,34792,-146
2018-12-17,210,35494,1471
2018-12-18,210,35928,1123
2018-12-19,210,40532,6150
2018-12-20,210,40283,582
2018-12-21,210,40312,29
2018-12-24,210,46668,6930
2018-12-25,210,42702,-3431
2018-12-26,210,46054,4909
2018-12-27,210,43540,-1922
2018-12-28,210,39607,-2282
2019-01-02,210,45201,7081
2019-01-03,210,43966,297
2019-01-04,210,39933,-3268
2019-01-07,210,37433,-661
2019-01-08,210,36344,-918
2019-01-09,210,37690,3165
2019-01-10,210,36204,-840
2019-01-11,210,36663,459
2019-01-14,210,34928,354
2019-01-15,210,33894,765
2019-01-16,210,32820,210
2019-01-17,210,36151,3940
2019-01-18,210,37755,3293
2019-01-21,210,38907,2214
2019-01-22,210,37384,-236
2019-01-23,210,38314,1602
2019-01-24,210,35774,-1329
2019-01-25,210,35046,-236
2019-01-28,210,34300,927
2019-01-29,210,33657,-504
2019-01-30,210,31662,-942
2019-01-31,210,33148,1895
2019-02-01,210,24949,-7356
2019-02-11,210,26933,2240
2019-02-12,210,34644,7806
2019-02-13,210,31846,-2299
2019-02-14,210,33898,2987
2019-02-15,210,32563,-85
2019-02-18,210,32532,282
2019-02-19,210,33060,1131
2019-02-20,210,35964,2995
2019-02-21,210,49886,14569
2019-02-22,210,56753,9256
2019-02-25,210,51715,-3895
