trading_date,rank,volume,volume_change
2014-08-08,210,13373,13373
2014-08-11,210,14023,5478
2014-08-12,210,17980,4437
2014-08-13,210,18660,1189
2014-08-14,210,14730,-1101
2014-08-15,210,13965,830
2014-08-18,210,14010,520
2014-08-19,210,13492,15
2014-08-20,210,13399,494
2014-08-21,210,13539,314
2014-08-22,210,13746,450
2014-08-25,210,11985,551
2014-08-26,210,9845,-2087
2014-08-27,210,8889,-649
2014-08-28,210,7991,227
2014-08-29,210,7798,-116
2014-09-01,210,8446,894
2014-09-02,210,10332,2232
2014-09-03,210,10431,99
2014-09-04,210,10310,102
2014-09-05,210,10622,526
2014-09-09,210,12662,2609
2014-09-10,210,11153,-574
2014-09-11,210,10871,26
2014-09-12,210,10480,-121
2014-09-15,210,9893,-115
2014-09-16,210,9746,-62
2014-09-17,210,9764,95
2014-09-18,210,9567,65
2014-09-19,210,8612,-633
2014-09-22,210,9652,1486
2014-09-23,210,9543,267
2014-09-24,210,8930,-579
2014-09-25,210,9878,1224
2014-09-26,210,9641,-40
2014-09-29,210,9376,14
2014-09-30,210,8144,-1091
2014-10-08,210,8203,168
2014-10-09,210,8074,-25
2014-10-10,210,7830,-187
2014-10-13,210,7325,-361
2014-10-14,210,6907,-257
2014-10-15,210,6723,-10
2014-10-16,210,6481,-68
2014-10-17,210,6327,-131
2014-10-20,210,6266,-52
2014-10-21,210,6119,-45
2014-10-22,210,6086,118
2014-10-23,210,5971,-46
2014-10-24,210,5845,-28
2014-10-27,210,5836,-9
2014-10-28,210,5764,-46
2014-10-29,210,5730,8
2014-10-30,210,5578,-66
2014-10-31,210,5454,1364
2014-11-03,210,5557,160
2014-11-04,210,3999,-1474
2014-11-05,210,3599,-124
2014-11-06,210,3532,51
2014-11-07,210,3335,-89
2014-11-10,210,3249,-35
2014-11-11,210,3105,-120
2014-11-12,210,3114,20
2014-11-13,210,2978,-119
2014-11-14,210,2961,-16
2014-11-17,210,2870,-68
2014-11-18,210,2742,-19
2014-11-19,210,2560,-114
2014-11-20,210,1891,-278
2014-11-21,210,1429,-457
2014-11-24,210,1430,5
2014-11-25,210,1436,11
2014-11-26,210,1368,-47
2014-11-27,210,780,-491
2014-11-28,210,567,-146
2014-12-01,210,518,-35
2014-12-02,210,441,-70
2014-12-03,210,390,14
2014-12-04,210,334,-32
2014-12-05,210,317,-4
2014-12-08,210,307,-10
2014-12-09,210,289,30
2014-12-10,210,248,-23
2014-12-11,210,198,-36
2014-12-12,210,183,2
2014-12-15,210,170,1
2014-12-16,210,172,3
2014-12-17,210,169,-2
2014-12-18,210,159,0
2014-12-19,210,135,-6
2014-12-22,210,119,-8
2014-12-23,210,104,-14
2014-12-24,210,101,-3
2014-12-25,210,101,0
2014-12-26,210,100,3
2014-12-29,210,85,-12
2014-12-30,210,66,-17
2014-12-31,210,67,1
2015-01-05,210,73,6
2015-01-06,210,75,2
2015-01-07,210,72,-3
2015-01-08,210,71,-1
2015-01-09,210,71,0
2015-01-12,210,84,13
2015-01-13,210,84,0
2015-01-14,210,82,-2
2015-01-15,210,83,1
2015-01-16,210,69,-14
2015-01-19,210,86,17
2015-01-20,190,81,-5
2015-01-21,120,79,-2
2015-01-22,153,74,-5
2015-01-23,120,75,1
2015-01-26,136,75,0
2015-01-27,210,77,3
2015-01-28,210,120,48
2015-01-29,210,134,31
2015-01-30,210,132,10
2015-02-02,210,134,9
2015-02-03,210,142,9
2015-02-04,210,133,-7
2015-02-05,210,129,-2
2015-02-06,210,128,0
2015-02-09,210,127,-1
2015-02-10,210,95,-30
2015-02-11,210,93,-2
2015-02-12,210,92,-1
2015-02-13,210,91,-1
2015-02-16,210,86,-5
2015-02-17,210,80,-6
2015-02-25,153,81,1
2015-02-26,210,71,-10
2015-02-27,210,74,3
2015-03-02,210,63,-3
2015-03-03,190,61,-2
2015-03-04,210,66,5
2015-03-05,210,65,-1
2015-03-06,210,67,2
2015-03-09,210,60,-7
2015-03-10,171,61,1
2015-03-11,210,64,3
2015-03-12,171,64,0
2015-03-13,190,63,-1
2015-03-16,210,61,-2
2015-03-17,171,61,0
2015-03-18,190,60,-1
2015-03-19,153,60,0
2015-03-20,153,59,-1
2015-03-23,210,58,-1
2015-03-24,136,58,0
2015-03-25,136,58,0
2015-03-26,136,58,0
2015-03-27,210,59,1
2015-03-30,171,59,0
2015-03-31,171,59,0
2015-04-01,171,59,0
2015-04-02,171,58,-1
2015-04-03,153,58,0
2015-04-07,210,58,0
2015-04-08,210,58,0
2015-04-09,210,58,0
2015-04-10,210,41,-17
2015-04-13,210,48,7
2015-04-14,210,47,0
2015-04-15,210,44,-3
2015-04-16,210,42,-2
2015-04-17,210,42,0
2015-04-20,210,34,-8
2015-04-21,153,30,-4
2015-04-22,136,23,-7
2015-04-23,91,21,-2
2015-04-24,136,21,0
2015-04-27,120,13,-8
2015-04-28,136,14,1
2015-04-29,105,10,-4
2015-04-30,66,3,-7
2015-05-04,15,2,-1
2015-05-05,28,5,3
2015-05-06,21,3,-2
2015-05-07,6,3,0
2015-05-08,6,3,0
2015-05-11,36,8,5
2015-05-12,36,8,0
2015-05-13,21,7,-1
2015-05-14,28,3,-4
2015-05-15,36,3,0
2015-05-18,10,3,0
2015-05-19,55,15,12
2015-05-20,78,16,1
2015-05-21,55,15,-1
2015-05-22,78,14,-1
2015-05-25,55,14,0
2015-05-26,28,15,1
2015-05-27,36,15,0
2015-05-28,15,15,0
2015-05-29,15,12,-3
2015-06-01,21,13,1
2015-06-02,21,13,0
2015-06-03,36,12,-1
2015-06-04,10,12,0
2015-06-05,10,12,0
2015-06-08,10,12,0
2015-06-09,10,12,0
2015-06-10,10,12,0
2015-06-11,10,12,0
2015-06-12,10,12,0
2015-06-15,10,10,-2
2015-06-16,10,4,-6
2015-06-17,6,4,0
2015-06-18,6,4,0
2015-06-19,6,4,0
2015-06-23,6,4,0
2015-06-24,6,4,0
2015-06-25,6,4,0
2015-06-26,6,4,0
2015-06-29,21,4,0
2015-06-30,15,1,-3
2015-07-01,6,1,0
2015-07-02,3,1,0
2015-07-03,3,1,0
2015-07-06,6,1,0
2015-07-07,21,2,1
2015-07-08,171,19,17
2015-07-09,136,18,-1
2015-07-10,66,18,0
2015-07-13,66,16,-2
2015-07-14,45,14,-2
2015-07-15,28,14,0
2015-07-16,78,19,5
2015-07-17,66,16,-3
2015-07-20,55,17,1
2015-07-21,91,21,4
2015-07-22,91,14,-7
2015-07-23,66,15,1
2015-07-24,45,16,1
2015-07-27,45,16,0
2015-07-28,55,16,0
2015-07-29,45,15,-1
2015-07-30,36,13,-2
2015-07-31,36,13,0
2015-08-03,36,14,1
2015-08-04,36,13,-1
2015-08-05,45,13,0
2015-08-06,28,13,0
2015-08-07,21,9,-4
2015-08-10,10,9,0
2015-08-11,15,9,0
2015-08-12,15,9,0
2015-08-13,36,9,0
2015-08-14,36,10,1
2015-08-17,136,18,8
2015-08-18,136,19,1
2015-08-19,66,17,-2
2015-08-20,28,17,0
2015-08-21,28,16,-1
2015-08-24,55,16,0
2015-08-25,78,16,0
2015-08-26,36,16,0
2015-08-27,45,16,0
2015-08-28,45,17,1
2015-08-31,55,18,1
2015-09-01,45,17,-1
2015-09-02,21,18,1
2015-09-07,28,20,2
2015-09-08,21,20,0
2015-09-09,36,20,0
2015-09-10,21,20,0
2015-09-11,10,20,0
2015-09-14,10,20,0
2015-09-15,136,18,-2
2015-09-16,91,23,5
2015-09-17,91,21,-2
2015-09-18,28,23,2
2015-09-21,45,26,3
2015-09-22,66,24,-2
2015-09-23,36,24,0
2015-09-24,66,24,0
2015-09-25,55,25,1
2015-09-28,36,25,0
2015-09-29,36,24,-1
2015-09-30,45,21,-3
2015-10-08,36,19,-2
2015-10-09,55,19,0
2015-10-12,36,19,0
2015-10-13,55,20,1
2015-10-14,190,22,2
2015-10-15,105,20,-2
2015-10-16,136,27,7
2015-10-19,105,25,-2
2015-10-20,91,21,-4
2015-10-21,105,22,1
2015-10-22,171,23,1
2015-10-23,210,29,7
2015-10-26,210,39,18
2015-10-27,210,49,10
2015-10-28,210,82,34
2015-10-29,210,265,194
2015-10-30,210,458,210
2015-11-02,210,524,126
2015-11-03,210,633,224
2015-11-04,210,604,195
2015-11-05,210,538,50
2015-11-06,210,363,-36
2015-11-09,210,376,78
2015-11-10,210,280,21
2015-11-11,210,501,304
2015-11-12,210,793,408
2015-11-13,210,531,-86
2015-11-16,210,455,67
2015-11-17,210,435,67
2015-11-18,210,440,20
2015-11-19,210,477,68
2015-11-20,210,535,109
2015-11-23,210,599,99
2015-11-24,210,436,34
2015-11-25,210,403,0
2015-11-26,210,425,54
2015-11-27,210,449,36
2015-11-30,210,451,37
2015-12-01,210,462,40
2015-12-02,210,582,178
2015-12-03,210,695,143
2015-12-04,210,724,223
2015-12-07,210,522,-7
2015-12-08,210,399,51
2015-12-09,210,311,8
2015-12-10,210,287,10
2015-12-11,210,266,6
2015-12-14,210,223,-7
2015-12-15,210,211,11
2015-12-16,210,185,-11
2015-12-17,210,175,-7
2015-12-18,210,134,-36
2015-12-21,210,112,-17
2015-12-22,210,122,18
2015-12-23,210,95,-21
2015-12-24,210,85,-9
2015-12-25,210,81,-1
2015-12-28,210,80,1
2015-12-29,210,78,4
2015-12-30,210,68,-8
2015-12-31,210,54,1
2016-01-04,210,57,9
2016-01-05,210,77,29
2016-01-06,210,90,14
2016-01-07,210,99,10
2016-01-08,210,124,53
2016-01-11,210,231,116
2016-01-12,210,247,30
2016-01-13,210,223,-12
2016-01-14,210,292,152
2016-01-15,210,332,164
2016-01-18,210,351,81
2016-01-19,210,333,-12
2016-01-20,210,313,50
2016-01-21,210,312,33
2016-01-22,210,297,-14
2016-01-25,210,299,11
2016-01-26,210,249,-43
2016-01-27,210,228,10
2016-01-28,210,250,32
2016-01-29,210,245,1
2016-02-01,210,220,-25
2016-02-02,210,220,0
2016-02-03,210,204,-9
2016-02-04,210,152,-33
2016-02-05,210,110,-11
2016-02-15,210,107,-3
2016-02-16,210,118,14
2016-02-17,210,102,-13
2016-02-18,210,106,4
2016-02-19,210,108,6
2016-02-22,210,106,4
2016-02-23,210,98,-3
2016-02-24,210,120,22
2016-02-25,210,111,-6
2016-02-26,210,100,-3
2016-02-29,210,114,15
2016-03-01,210,162,61
2016-03-02,210,395,302
2016-03-03,210,443,80
2016-03-04,210,346,48
2016-03-07,210,335,1
2016-03-08,210,350,54
2016-03-09,210,221,-94
2016-03-10,210,245,32
2016-03-11,210,242,9
2016-03-14,210,270,47
2016-03-15,210,235,-21
2016-03-16,210,246,26
2016-03-17,210,251,24
2016-03-18,210,271,51
2016-03-21,210,305,49
2016-03-22,210,266,-17
2016-03-23,210,253,2
2016-03-24,210,207,5
2016-03-25,210,221,22
2016-03-28,210,255,91
2016-03-29,210,281,50
2016-03-30,210,313,54
2016-03-31,210,310,2
2016-04-01,210,300,-1
2016-04-05,210,283,16
2016-04-06,210,269,-1
2016-04-07,210,282,14
2016-04-08,210,261,-2
2016-04-11,210,287,40
2016-04-12,210,254,-15
2016-04-13,210,431,193
2016-04-14,210,573,148
2016-04-15,210,507,-2
2016-04-18,210,514,58
2016-04-19,210,414,-91
2016-04-20,210,372,-30
2016-04-21,210,360,8
2016-04-22,210,313,-33
2016-04-25,210,290,-13
2016-04-26,210,254,-11
2016-04-27,210,220,-24
2016-04-28,210,223,11
2016-04-29,210,199,-17
2016-05-03,210,218,19
2016-05-04,210,217,7
2016-05-05,210,200,33
2016-05-06,210,201,4
2016-05-09,210,236,42
2016-05-10,210,239,20
2016-05-11,210,284,56
2016-05-12,210,319,37
2016-05-13,210,281,61
2016-05-16,210,194,-82
2016-05-17,210,198,10
2016-05-18,210,191,2
2016-05-19,210,186,-1
2016-05-20,210,382,220
2016-05-23,210,342,-33
2016-05-24,210,368,53
2016-05-25,210,430,66
2016-05-26,210,427,-3
2016-05-27,210,412,-13
2016-05-30,210,409,-2
2016-05-31,210,422,13
2016-06-01,210,425,4
2016-06-02,210,395,-23
2016-06-03,210,348,-2
2016-06-06,210,322,-16
2016-06-07,210,337,18
2016-06-08,210,342,8
2016-06-13,210,337,-2
2016-06-14,210,369,34
2016-06-15,210,373,5
2016-06-16,210,371,1
2016-06-17,210,373,4
2016-06-20,210,368,-4
2016-06-21,210,368,1
2016-06-22,210,366,-2
2016-06-23,210,371,5
2016-06-24,210,433,91
2016-06-27,210,387,-11
2016-06-28,210,321,-44
2016-06-29,210,315,-1
2016-06-30,210,305,-5
2016-07-01,210,274,-26
2016-07-04,210,323,165
2016-07-05,210,289,-17
2016-07-06,210,308,19
2016-07-07,210,291,-16
2016-07-08,210,4266,3985
2016-07-11,210,4235,-19
2016-07-12,210,4200,-26
2016-07-13,210,4151,-35
2016-07-14,210,4167,18
2016-07-15,210,4149,-18
2016-07-18,210,4139,34
2016-07-19,210,4152,13
2016-07-20,210,4261,109
2016-07-21,210,4540,294
2016-07-22,210,4696,164
2016-07-25,210,4981,289
2016-07-26,210,5560,593
2016-07-27,210,5829,567
2016-07-28,210,6200,424
2016-07-29,210,7362,1209
2016-08-01,210,7296,34
2016-08-02,210,7495,257
2016-08-03,210,7593,181
2016-08-04,210,7638,210
2016-08-05,210,6974,-359
2016-08-08,210,6958,63
2016-08-09,210,6495,-399
2016-08-10,210,6399,93
2016-08-11,210,6073,-275
2016-08-12,210,5934,29
2016-08-15,210,5843,-6
2016-08-16,210,5815,14
2016-08-17,210,5803,28
2016-08-18,210,5694,-103
2016-08-19,210,5446,-248
2016-08-22,210,5190,-234
2016-08-23,210,5193,10
2016-08-24,210,5157,-15
2016-08-25,210,5222,82
2016-08-26,210,5234,42
2016-08-29,210,5360,159
2016-08-30,210,5347,3
2016-08-31,210,5287,-25
2016-09-01,210,5294,7
2016-09-02,210,5284,-8
2016-09-05,210,5293,16
2016-09-06,210,5367,120
2016-09-07,210,5326,-23
2016-09-08,210,5689,435
2016-09-09,210,5537,25
2016-09-12,210,5427,-46
2016-09-13,210,5391,-21
2016-09-14,210,5100,-232
2016-09-19,210,5178,109
2016-09-20,210,5661,563
2016-09-21,210,5633,114
2016-09-22,210,5606,51
2016-09-23,210,5610,35
2016-09-26,210,5416,-170
2016-09-27,210,3357,-1968
2016-09-28,210,1551,212
2016-09-29,210,1598,92
