trading_date,commodity_id,rank,member_name,volume,volume_change
2014-12-19,CS,1,华泰期货,307,307
2014-12-19,CS,2,方正中期,270,270
2014-12-19,CS,3,美尔雅期货,254,254
2014-12-19,CS,4,同信久恒,250,250
2014-12-19,CS,5,安粮期货,250,250
2014-12-19,CS,6,广发期货,171,171
2014-12-19,CS,7,光大期货,167,167
2014-12-19,CS,8,国泰君安,166,166
2014-12-19,CS,9,国海良时,153,153
2014-12-19,CS,10,银河期货,137,137
2014-12-19,CS,11,徽商期货,96,96
2014-12-19,CS,12,宝城期货,95,95
2014-12-19,CS,13,大地期货,93,93
2014-12-19,CS,14,五矿经易,89,89
2014-12-19,CS,15,中国国际,75,75
2014-12-19,CS,16,南华期货,69,69
2014-12-19,CS,17,上海中期,48,48
2014-12-19,CS,18,金瑞期货,47,47
2014-12-19,CS,19,格林大华,46,46
2014-12-19,CS,20,鲁证期货,42,42
2014-12-22,CS,1,国泰君安,385,218
2014-12-22,CS,2,光大期货,342,175
2014-12-22,CS,3,华泰长城,340,33
2014-12-22,CS,4,同信久恒,303,53
2014-12-22,CS,5,美尔雅期货,292,33
2014-12-22,CS,6,安粮期货,276,26
2014-12-22,CS,7,银河期货,271,154
2014-12-22,CS,8,徽商期货,212,116
2014-12-22,CS,9,海通期货,153,145
2014-12-22,CS,10,国海良时,150,92
2014-12-22,CS,11,国投期货,127,126
2014-12-22,CS,12,广发期货,101,-33
2014-12-22,CS,13,南华期货,90,55
2014-12-22,CS,14,宝城期货,85,47
2014-12-22,CS,15,北京首创,83,36
2014-12-22,CS,16,方正中期,73,39
2014-12-22,CS,17,万达期货,71,51
2014-12-22,CS,18,华联期货,70,65
2014-12-22,CS,19,中国国际,65,-10
2014-12-22,CS,20,中信建投,64,43
2014-12-23,CS,1,新湖期货,482,445
2014-12-23,CS,2,国泰君安,386,1
2014-12-23,CS,3,华泰长城,348,8
2014-12-23,CS,4,安粮期货,299,23
2014-12-23,CS,5,同信久恒,290,-13
2014-12-23,CS,6,光大期货,278,-64
2014-12-23,CS,7,美尔雅期货,250,-42
2014-12-23,CS,8,国投期货,240,113
2014-12-23,CS,9,银河期货,227,-44
2014-12-23,CS,10,民生期货,206,191
2014-12-23,CS,11,徽商期货,179,-33
2014-12-23,CS,12,国海良时,150,0
2014-12-23,CS,13,海通期货,131,-22
2014-12-23,CS,14,华联期货,111,41
2014-12-23,CS,15,北京首创,103,20
2014-12-23,CS,16,广发期货,94,-7
2014-12-23,CS,17,南华期货,90,0
2014-12-23,CS,18,宝城期货,85,0
2014-12-23,CS,19,东航期货,77,37
2014-12-23,CS,20,中信期货,71,28
2014-12-24,CS,1,新湖期货,487,5
2014-12-24,CS,2,国泰君安,407,21
2014-12-24,CS,3,国投期货,390,150
2014-12-24,CS,4,银河期货,387,160
2014-12-24,CS,5,华泰长城,348,0
2014-12-24,CS,6,光大期货,311,33
2014-12-24,CS,7,安粮期货,310,11
2014-12-24,CS,8,同信久恒,300,10
2014-12-24,CS,9,国海良时,150,0
2014-12-24,CS,10,徽商期货,143,-36
2014-12-24,CS,11,美尔雅期货,129,-121
2014-12-24,CS,12,北京首创,117,14
2014-12-24,CS,13,南华期货,90,0
2014-12-24,CS,14,海通期货,89,-42
2014-12-24,CS,15,宝城期货,85,0
2014-12-24,CS,16,方正中期,72,4
2014-12-24,CS,17,中国国际,65,0
2014-12-24,CS,18,东航期货,59,-18
2014-12-24,CS,19,渤海期货,57,57
2014-12-24,CS,20,长江期货,55,35
2014-12-25,CS,1,新湖期货,1102,615
2014-12-25,CS,2,同信久恒,500,200
2014-12-25,CS,3,国泰君安,362,-45
2014-12-25,CS,4,华泰长城,350,2
2014-12-25,CS,5,光大期货,312,1
2014-12-25,CS,6,安粮期货,310,0
2014-12-25,CS,7,徽商期货,238,95
2014-12-25,CS,8,银河期货,238,-149
2014-12-25,CS,9,国海良时,150,0
2014-12-25,CS,10,美尔雅期货,133,4
2014-12-25,CS,11,国投期货,99,-191
2014-12-25,CS,12,冠通期货,96,57
2014-12-25,CS,13,东航期货,94,35
2014-12-25,CS,14,方正中期,93,21
2014-12-25,CS,15,南华期货,90,0
2014-12-25,CS,16,宝城期货,85,0
2014-12-25,CS,17,海通期货,85,-4
2014-12-25,CS,18,中国国际,71,6
2014-12-25,CS,19,渤海期货,60,3
2014-12-25,CS,20,永安期货,58,25
2014-12-26,CS,1,新湖期货,1210,108
2014-12-26,CS,2,同信久恒,501,1
2014-12-26,CS,3,国泰君安,377,15
2014-12-26,CS,4,安粮期货,335,25
2014-12-26,CS,5,华泰长城,323,-27
2014-12-26,CS,6,光大期货,320,8
2014-12-26,CS,7,徽商期货,271,33
2014-12-26,CS,8,银河期货,239,-1
2014-12-26,CS,9,国海良时,150,0
2014-12-26,CS,10,美尔雅期货,122,-11
2014-12-26,CS,11,中国国际,115,17
2014-12-26,CS,12,冠通期货,110,14
2014-12-26,CS,13,方正中期,108,15
2014-12-26,CS,14,国投期货,100,1
2014-12-26,CS,15,南华期货,90,0
2014-12-26,CS,16,宝城期货,85,0
2014-12-26,CS,17,海通期货,72,-13
2014-12-26,CS,18,中信建投,67,20
2014-12-26,CS,19,渤海期货,66,6
2014-12-26,CS,20,金瑞期货,63,29
2014-12-29,CS,1,新湖期货,1044,-166
2014-12-29,CS,2,同信久恒,500,-1
2014-12-29,CS,3,国泰君安,365,-12
2014-12-29,CS,4,安粮期货,335,0
2014-12-29,CS,5,华泰长城,323,0
2014-12-29,CS,6,光大期货,313,-7
2014-12-29,CS,7,银河期货,227,-10
2014-12-29,CS,8,徽商期货,220,-51
2014-12-29,CS,9,国海良时,150,0
2014-12-29,CS,10,中国国际,141,26
2014-12-29,CS,11,方正中期,106,-2
2014-12-29,CS,12,冠通期货,102,-8
2014-12-29,CS,13,国投期货,93,-7
2014-12-29,CS,14,南华期货,90,0
2014-12-29,CS,15,宝城期货,87,2
2014-12-29,CS,16,渤海期货,75,9
2014-12-29,CS,17,中信建投,62,-5
2014-12-29,CS,18,金瑞期货,60,-3
2014-12-29,CS,19,广发期货,59,22
2014-12-29,CS,20,东航期货,57,10
2014-12-30,CS,1,新湖期货,1286,242
2014-12-30,CS,2,国泰君安,353,-12
2014-12-30,CS,3,安粮期货,335,0
2014-12-30,CS,4,光大期货,321,8
2014-12-30,CS,5,华泰长城,319,-4
2014-12-30,CS,6,徽商期货,273,53
2014-12-30,CS,7,银河期货,238,11
2014-12-30,CS,8,国海良时,150,0
2014-12-30,CS,9,中国国际,120,-21
2014-12-30,CS,10,方正中期,105,-1
2014-12-30,CS,11,上海中期,101,50
2014-12-30,CS,12,冠通期货,101,-1
2014-12-30,CS,13,国投期货,93,0
2014-12-30,CS,14,南华期货,90,0
2014-12-30,CS,15,宝城期货,87,0
2014-12-30,CS,16,中信建投,82,20
2014-12-30,CS,17,渤海期货,75,0
2014-12-30,CS,18,东航期货,65,8
2014-12-30,CS,19,海通期货,64,18
2014-12-30,CS,20,金瑞期货,60,0
2014-12-31,CS,1,新湖期货,1045,-241
2014-12-31,CS,2,安粮期货,335,0
2014-12-31,CS,3,国泰君安,335,-18
2014-12-31,CS,4,华泰长城,325,6
2014-12-31,CS,5,徽商期货,282,9
2014-12-31,CS,6,光大期货,267,-54
2014-12-31,CS,7,国海良时,150,0
2014-12-31,CS,8,银河期货,126,-112
2014-12-31,CS,9,方正中期,123,18
2014-12-31,CS,10,东航期货,107,42
2014-12-31,CS,11,冠通期货,101,0
2014-12-31,CS,12,中信建投,94,12
2014-12-31,CS,13,南华期货,90,0
2014-12-31,CS,14,上海中期,88,-13
2014-12-31,CS,15,宝城期货,87,0
2014-12-31,CS,16,渤海期货,75,0
2014-12-31,CS,17,国投期货,74,-19
2014-12-31,CS,18,金瑞期货,62,2
2014-12-31,CS,19,弘业期货,55,3
2014-12-31,CS,20,广发期货,55,0
2015-01-05,CS,1,新湖期货,1804,759
2015-01-05,CS,2,徽商期货,356,74
2015-01-05,CS,3,安粮期货,349,14
2015-01-05,CS,4,国泰君安,346,11
2015-01-05,CS,5,光大期货,218,0
2015-01-05,CS,6,上海中期,195,107
2015-01-05,CS,7,东航期货,185,78
2015-01-05,CS,8,广发期货,154,99
2015-01-05,CS,9,国海良时,150,0
2015-01-05,CS,10,方正中期,137,14
2015-01-05,CS,11,中信建投,118,24
2015-01-05,CS,12,银河期货,114,-12
2015-01-05,CS,13,海通期货,104,60
2015-01-05,CS,14,冠通期货,101,0
2015-01-05,CS,15,南华期货,90,0
2015-01-05,CS,16,宝城期货,88,1
2015-01-05,CS,17,中国国际,82,20
2015-01-05,CS,18,北京首创,79,4
2015-01-05,CS,19,华泰长城,71,-254
2015-01-05,CS,20,长江期货,64,26
2015-01-06,CS,1,国泰君安,665,319
2015-01-06,CS,2,徽商期货,615,259
2015-01-06,CS,3,光大期货,451,189
2015-01-06,CS,4,银河期货,425,311
2015-01-06,CS,5,广发期货,339,185
2015-01-06,CS,6,永安期货,338,293
2015-01-06,CS,7,安粮期货,320,42
2015-01-06,CS,8,宝城期货,288,177
2015-01-06,CS,9,海通期货,267,163
2015-01-06,CS,10,上海中期,260,65
2015-01-06,CS,11,方正中期,237,99
2015-01-06,CS,12,东海期货,227,213
2015-01-06,CS,13,东航期货,214,29
2015-01-06,CS,14,中国国际,210,128
2015-01-06,CS,15,中信建投,196,78
2015-01-06,CS,16,中衍期货,179,120
2015-01-06,CS,17,长江期货,166,101
2015-01-06,CS,18,华泰长城,164,93
2015-01-06,CS,19,国海良时,150,0
2015-01-06,CS,20,万达期货,140,132
2015-01-07,CS,1,国泰君安,635,-30
2015-01-07,CS,2,徽商期货,549,-66
2015-01-07,CS,3,永安期货,469,131
2015-01-07,CS,4,安粮期货,460,27
2015-01-07,CS,5,光大期货,451,0
2015-01-07,CS,6,宝城期货,336,48
2015-01-07,CS,7,广发期货,313,-26
2015-01-07,CS,8,银河期货,273,-152
2015-01-07,CS,9,海通期货,264,-3
2015-01-07,CS,10,上海中期,247,-13
2015-01-07,CS,11,方正中期,227,-6
2015-01-07,CS,12,国海良时,165,15
2015-01-07,CS,13,中国国际,161,-49
2015-01-07,CS,14,东航期货,140,-74
2015-01-07,CS,15,中衍期货,130,-49
2015-01-07,CS,16,浙江中大,129,49
2015-01-07,CS,17,中信建投,129,-67
2015-01-07,CS,18,一德期货,120,-4
2015-01-07,CS,19,南华期货,115,15
2015-01-07,CS,20,鲁证期货,106,29
2015-01-08,CS,1,国泰君安,661,26
2015-01-08,CS,2,徽商期货,592,43
2015-01-08,CS,3,安粮期货,460,0
2015-01-08,CS,4,光大期货,438,-13
2015-01-08,CS,5,永安期货,427,-42
2015-01-08,CS,6,广发期货,364,51
2015-01-08,CS,7,海通期货,340,76
2015-01-08,CS,8,长江期货,306,211
2015-01-08,CS,9,上海中期,258,11
2015-01-08,CS,10,银河期货,246,-27
2015-01-08,CS,11,方正中期,227,0
2015-01-08,CS,12,中国国际,220,59
2015-01-08,CS,13,宝城期货,159,0
2015-01-08,CS,14,国海良时,150,-15
2015-01-08,CS,15,中辉期货,149,53
2015-01-08,CS,16,中衍期货,146,16
2015-01-08,CS,17,东航期货,136,-4
2015-01-08,CS,18,南华期货,127,12
2015-01-08,CS,19,浙江中大,126,-3
2015-01-08,CS,20,中信建投,121,-8
2015-01-09,CS,1,国投期货,622,600
2015-01-09,CS,2,国泰君安,618,-43
2015-01-09,CS,3,徽商期货,601,9
2015-01-09,CS,4,安粮期货,475,15
2015-01-09,CS,5,光大期货,473,35
2015-01-09,CS,6,永安期货,413,-14
2015-01-09,CS,7,海通期货,381,41
2015-01-09,CS,8,广发期货,370,6
2015-01-09,CS,9,宝城期货,292,69
2015-01-09,CS,10,中国国际,260,40
2015-01-09,CS,11,上海中期,249,-9
2015-01-09,CS,12,银河期货,245,-1
2015-01-09,CS,13,方正中期,229,2
2015-01-09,CS,14,中粮期货,207,197
2015-01-09,CS,15,东航期货,159,23
2015-01-09,CS,16,国海良时,150,0
2015-01-09,CS,17,中信建投,130,9
2015-01-09,CS,18,南华期货,129,2
2015-01-09,CS,19,浙江中大,118,-8
2015-01-09,CS,20,北京首创,112,-4
2015-01-12,CS,1,国投期货,624,2
2015-01-12,CS,2,中粮期货,611,397
2015-01-12,CS,3,国泰君安,548,-19
2015-01-12,CS,4,徽商期货,528,-73
2015-01-12,CS,5,安粮期货,515,40
2015-01-12,CS,6,光大期货,514,41
2015-01-12,CS,7,海通期货,394,13
2015-01-12,CS,8,广发期货,376,6
2015-01-12,CS,9,上海中期,254,5
2015-01-12,CS,10,银河期货,237,-8
2015-01-12,CS,11,中国国际,228,-32
2015-01-12,CS,12,方正中期,203,-26
2015-01-12,CS,13,永安期货,194,-219
2015-01-12,CS,14,宝城期货,181,2
2015-01-12,CS,15,国海良时,150,0
2015-01-12,CS,16,东航期货,140,-19
2015-01-12,CS,17,南华期货,128,-1
2015-01-12,CS,18,中信建投,127,-3
2015-01-12,CS,19,浙江中大,118,0
2015-01-12,CS,20,中衍期货,116,27
2015-01-13,CS,1,中粮期货,745,141
2015-01-13,CS,2,国投期货,621,-3
2015-01-13,CS,3,海通期货,597,203
2015-01-13,CS,4,国泰君安,536,-12
2015-01-13,CS,5,安粮期货,515,0
2015-01-13,CS,6,光大期货,506,-8
2015-01-13,CS,7,徽商期货,492,-36
2015-01-13,CS,8,中国国际,419,191
2015-01-13,CS,9,广发期货,387,11
2015-01-13,CS,10,上海中期,271,17
2015-01-13,CS,11,方正中期,240,37
2015-01-13,CS,12,银河期货,201,-38
2015-01-13,CS,13,东航期货,150,10
2015-01-13,CS,14,国海良时,150,0
2015-01-13,CS,15,宝城期货,134,-47
2015-01-13,CS,16,中信建投,129,2
2015-01-13,CS,17,北京首创,114,12
2015-01-13,CS,18,浙江中大,114,-4
2015-01-13,CS,19,南华期货,105,-23
2015-01-13,CS,20,浙商期货,96,0
2015-01-14,CS,1,海通期货,639,42
2015-01-14,CS,2,国投期货,630,5
2015-01-14,CS,3,中粮期货,603,-142
2015-01-14,CS,4,安粮期货,510,-5
2015-01-14,CS,5,光大期货,485,-21
2015-01-14,CS,6,徽商期货,471,-21
2015-01-14,CS,7,中国国际,451,32
2015-01-14,CS,8,国泰君安,380,-156
2015-01-14,CS,9,广发期货,340,-47
2015-01-14,CS,10,上海中期,246,-25
2015-01-14,CS,11,方正中期,224,-16
2015-01-14,CS,12,银河期货,179,-15
2015-01-14,CS,13,东航期货,154,4
2015-01-14,CS,14,国海良时,150,0
2015-01-14,CS,15,申银万国,131,56
2015-01-14,CS,16,宝城期货,130,-4
2015-01-14,CS,17,中信期货,112,35
2015-01-14,CS,18,浙江中大,111,-3
2015-01-14,CS,19,中信建投,106,-23
2015-01-14,CS,20,南华期货,105,0
2015-01-15,CS,1,中粮期货,1100,497
2015-01-15,CS,2,国投期货,627,-3
2015-01-15,CS,3,海通期货,607,-32
2015-01-15,CS,4,光大期货,475,-10
2015-01-15,CS,5,安粮期货,461,-49
2015-01-15,CS,6,中国国际,427,-24
2015-01-15,CS,7,徽商期货,414,-57
2015-01-15,CS,8,广发期货,334,-6
2015-01-15,CS,9,上海中期,233,-13
2015-01-15,CS,10,方正中期,190,-34
2015-01-15,CS,11,银河期货,173,-6
2015-01-15,CS,12,东航期货,163,9
2015-01-15,CS,13,国海良时,150,0
2015-01-15,CS,14,申银万国,132,1
2015-01-15,CS,15,宝城期货,130,0
2015-01-15,CS,16,浙江中大,110,-1
2015-01-15,CS,17,南华期货,105,0
2015-01-15,CS,18,万达期货,101,58
2015-01-15,CS,19,中信建投,101,-5
2015-01-15,CS,20,浙商期货,96,0
2015-01-16,CS,1,中粮期货,1300,200
2015-01-16,CS,2,国投期货,678,51
2015-01-16,CS,3,光大期货,496,21
2015-01-16,CS,4,海通期货,466,-141
2015-01-16,CS,5,安粮期货,435,-26
2015-01-16,CS,6,广发期货,329,-5
2015-01-16,CS,7,徽商期货,323,-91
2015-01-16,CS,8,中国国际,287,-140
2015-01-16,CS,9,国海良时,238,40
2015-01-16,CS,10,上海中期,177,-56
2015-01-16,CS,11,东航期货,161,-2
2015-01-16,CS,12,方正中期,159,-31
2015-01-16,CS,13,宝城期货,130,0
2015-01-16,CS,14,银河期货,117,-56
2015-01-16,CS,15,浙江中大,113,3
2015-01-16,CS,16,南华期货,105,0
2015-01-16,CS,17,中信建投,101,0
2015-01-16,CS,18,华安期货,88,86
2015-01-16,CS,19,永安期货,87,-47
2015-01-16,CS,20,冠通期货,85,-2
2015-01-19,CS,1,中粮期货,1064,-236
2015-01-19,CS,2,国投期货,710,32
2015-01-19,CS,3,光大期货,486,-10
2015-01-19,CS,4,安粮期货,430,-5
2015-01-19,CS,5,广发期货,293,-36
2015-01-19,CS,6,海通期货,280,-186
2015-01-19,CS,7,徽商期货,253,-70
2015-01-19,CS,8,中国国际,242,-45
2015-01-19,CS,9,国海良时,223,-15
2015-01-19,CS,10,东航期货,150,-11
2015-01-19,CS,11,上海中期,136,-41
2015-01-19,CS,12,宝城期货,130,0
2015-01-19,CS,13,银河期货,116,-1
2015-01-19,CS,14,浙江中大,113,0
2015-01-19,CS,15,南华期货,105,0
2015-01-19,CS,16,中信建投,103,2
2015-01-19,CS,17,方正中期,93,-66
2015-01-19,CS,18,渤海期货,90,10
2015-01-19,CS,19,申银万国,89,11
2015-01-19,CS,20,冠通期货,87,2
2015-01-20,CS,1,中粮期货,906,-158
2015-01-20,CS,2,国投期货,715,5
2015-01-20,CS,3,光大期货,476,-10
2015-01-20,CS,4,安粮期货,422,-8
2015-01-20,CS,5,中国国际,394,152
2015-01-20,CS,6,广发期货,291,-2
2015-01-20,CS,7,海通期货,279,-1
2015-01-20,CS,8,徽商期货,264,11
2015-01-20,CS,9,国海良时,222,-1
2015-01-20,CS,10,广永期货,199,199
2015-01-20,CS,11,东航期货,151,1
2015-01-20,CS,12,上海中期,136,0
2015-01-20,CS,13,宝城期货,128,-2
2015-01-20,CS,14,银河期货,116,0
2015-01-20,CS,15,浙江中大,112,-1
2015-01-20,CS,16,南华期货,105,0
2015-01-20,CS,17,中信建投,104,1
2015-01-20,CS,18,华泰长城,97,23
2015-01-20,CS,19,方正中期,91,-2
2015-01-20,CS,20,渤海期货,90,0
2015-01-21,CS,1,国投期货,786,76
2015-01-21,CS,2,中粮期货,592,-314
2015-01-21,CS,3,光大期货,474,-2
2015-01-21,CS,4,安粮期货,406,-16
2015-01-21,CS,5,广发期货,308,17
2015-01-21,CS,6,广永期货,307,108
2015-01-21,CS,7,海通期货,250,-29
2015-01-21,CS,8,上海中期,184,48
2015-01-21,CS,9,中国国际,181,-213
2015-01-21,CS,10,国泰君安,177,86
2015-01-21,CS,11,徽商期货,169,-53
2015-01-21,CS,12,东航期货,163,12
2015-01-21,CS,13,国海良时,158,8
2015-01-21,CS,14,南华期货,155,50
2015-01-21,CS,15,银河期货,146,30
2015-01-21,CS,16,宝城期货,128,0
2015-01-21,CS,17,中信建投,116,12
2015-01-21,CS,18,华泰长城,112,15
2015-01-21,CS,19,中信期货,107,67
2015-01-21,CS,20,渤海期货,100,10
2015-01-22,CS,1,国投期货,943,152
2015-01-22,CS,2,中粮期货,727,132
2015-01-22,CS,3,光大期货,475,1
2015-01-22,CS,4,安粮期货,405,-1
2015-01-22,CS,5,广永期货,380,73
2015-01-22,CS,6,中国国际,367,186
2015-01-22,CS,7,广发期货,329,21
2015-01-22,CS,8,徽商期货,273,104
2015-01-22,CS,9,东航期货,241,78
2015-01-22,CS,10,海通期货,203,-47
2015-01-22,CS,11,上海中期,193,9
2015-01-22,CS,12,方正中期,187,90
2015-01-22,CS,13,南华期货,162,7
2015-01-22,CS,14,国海良时,150,-8
2015-01-22,CS,15,银河期货,149,3
2015-01-22,CS,16,宝城期货,148,20
2015-01-22,CS,17,鲁证期货,125,61
2015-01-22,CS,18,兴证期货,107,104
2015-01-22,CS,19,万达期货,103,4
2015-01-22,CS,20,中信建投,102,-7
2015-01-23,CS,1,国投期货,1011,68
2015-01-23,CS,2,中粮期货,729,2
2015-01-23,CS,3,中国国际,533,166
2015-01-23,CS,4,光大期货,476,1
2015-01-23,CS,5,广永期货,433,53
2015-01-23,CS,6,安粮期货,405,0
2015-01-23,CS,7,广发期货,338,9
2015-01-23,CS,8,徽商期货,288,15
2015-01-23,CS,9,上海中期,223,30
2015-01-23,CS,10,东航期货,201,-40
2015-01-23,CS,11,方正中期,196,9
2015-01-23,CS,12,东海期货,184,105
2015-01-23,CS,13,海通期货,160,-43
2015-01-23,CS,14,国信期货,159,69
2015-01-23,CS,15,国海良时,150,0
2015-01-23,CS,16,宝城期货,148,0
2015-01-23,CS,17,鲁证期货,125,0
2015-01-23,CS,18,中信建投,118,16
2015-01-23,CS,19,银河期货,113,-36
2015-01-23,CS,20,南华期货,112,-50
2015-01-26,CS,1,国投期货,1009,-2
2015-01-26,CS,2,中粮期货,720,0
2015-01-26,CS,3,光大期货,525,49
2015-01-26,CS,4,徽商期货,494,206
2015-01-26,CS,5,中国国际,457,-76
2015-01-26,CS,6,广永期货,431,-2
2015-01-26,CS,7,安粮期货,405,0
2015-01-26,CS,8,广发期货,368,30
2015-01-26,CS,9,上海中期,223,0
2015-01-26,CS,10,方正中期,190,-6
2015-01-26,CS,11,国信期货,177,18
2015-01-26,CS,12,东航期货,161,-40
2015-01-26,CS,13,国海良时,150,0
2015-01-26,CS,14,宝城期货,148,0
2015-01-26,CS,15,海通期货,146,-14
2015-01-26,CS,16,鲁证期货,117,-8
2015-01-26,CS,17,南华期货,112,0
2015-01-26,CS,18,银河期货,107,-6
2015-01-26,CS,19,万达期货,103,-8
2015-01-26,CS,20,中信建投,102,-16
2015-01-27,CS,1,国投期货,582,-427
2015-01-27,CS,2,中粮期货,486,-234
2015-01-27,CS,3,广永期货,480,49
2015-01-27,CS,4,徽商期货,446,-56
2015-01-27,CS,5,安粮期货,438,33
2015-01-27,CS,6,光大期货,427,-98
2015-01-27,CS,7,广发期货,401,33
2015-01-27,CS,8,国信期货,299,122
2015-01-27,CS,9,上海中期,253,30
2015-01-27,CS,10,中国国际,242,-215
2015-01-27,CS,11,浙商期货,226,122
2015-01-27,CS,12,方正中期,212,22
2015-01-27,CS,13,国泰君安,168,29
2015-01-27,CS,14,南华期货,163,51
2015-01-27,CS,15,宝城期货,158,10
2015-01-27,CS,16,国海良时,150,0
2015-01-27,CS,17,东航期货,141,-20
2015-01-27,CS,18,弘业期货,138,84
2015-01-27,CS,19,新湖期货,106,19
2015-01-27,CS,20,银河期货,102,-5
2015-01-28,CS,1,中粮期货,550,64
2015-01-28,CS,2,广永期货,480,0
2015-01-28,CS,3,国信期货,440,141
2015-01-28,CS,4,安粮期货,437,-1
2015-01-28,CS,5,永安期货,399,296
2015-01-28,CS,6,国投期货,387,-170
2015-01-28,CS,7,光大期货,364,-63
2015-01-28,CS,8,徽商期货,335,-111
2015-01-28,CS,9,广发期货,312,-91
2015-01-28,CS,10,上海中期,279,26
2015-01-28,CS,11,方正中期,255,43
2015-01-28,CS,12,中国国际,249,7
2015-01-28,CS,13,东航期货,229,88
2015-01-28,CS,14,海航东银,227,226
2015-01-28,CS,15,中信期货,225,155
2015-01-28,CS,16,国海良时,170,20
2015-01-28,CS,17,浙商期货,168,-58
2015-01-28,CS,18,宝城期货,158,0
2015-01-28,CS,19,银河期货,144,42
2015-01-28,CS,20,新湖期货,117,11
2015-01-29,CS,1,方正中期,794,539
2015-01-29,CS,2,中粮期货,667,117
2015-01-29,CS,3,永安期货,439,40
2015-01-29,CS,4,安粮期货,356,0
2015-01-29,CS,5,徽商期货,347,12
2015-01-29,CS,6,国投期货,345,-42
2015-01-29,CS,7,光大期货,337,-27
2015-01-29,CS,8,新湖期货,335,158
2015-01-29,CS,9,上海中期,283,4
2015-01-29,CS,10,广永期货,280,-200
2015-01-29,CS,11,海航东银,256,29
2015-01-29,CS,12,广发期货,244,-68
2015-01-29,CS,13,浙商期货,242,74
2015-01-29,CS,14,国海良时,178,8
2015-01-29,CS,15,中信期货,170,-55
2015-01-29,CS,16,宝城期货,158,0
2015-01-29,CS,17,中国国际,151,-4
2015-01-29,CS,18,银河期货,149,5
2015-01-29,CS,19,汇鑫期货,142,103
2015-01-29,CS,20,国信期货,122,-318
2015-01-30,CS,1,方正中期,787,-7
2015-01-30,CS,2,中粮期货,671,4
2015-01-30,CS,3,永安期货,426,-13
2015-01-30,CS,4,国投期货,357,12
2015-01-30,CS,5,安粮期货,355,-1
2015-01-30,CS,6,浙商期货,353,111
2015-01-30,CS,7,新湖期货,331,-4
2015-01-30,CS,8,上海中期,290,7
2015-01-30,CS,9,广永期货,280,0
2015-01-30,CS,10,广发期货,272,28
2015-01-30,CS,11,中国国际,261,29
2015-01-30,CS,12,海航东银,256,0
2015-01-30,CS,13,银河期货,184,35
2015-01-30,CS,14,国海良时,179,1
2015-01-30,CS,15,光大期货,177,-2
2015-01-30,CS,16,宝城期货,158,0
2015-01-30,CS,17,中信期货,156,-14
2015-01-30,CS,18,徽商期货,142,-205
2015-01-30,CS,19,海通期货,138,69
2015-01-30,CS,20,建信期货,117,70
2015-02-02,CS,1,中粮期货,673,2
2015-02-02,CS,2,方正中期,619,-168
2015-02-02,CS,3,永安期货,441,15
2015-02-02,CS,4,国投期货,407,50
2015-02-02,CS,5,安粮期货,355,0
2015-02-02,CS,6,浙商期货,343,-10
2015-02-02,CS,7,新湖期货,330,-1
2015-02-02,CS,8,广永期货,310,30
2015-02-02,CS,9,光大期货,281,11
2015-02-02,CS,10,上海中期,276,-14
2015-02-02,CS,11,广发期货,270,-2
2015-02-02,CS,12,海航东银,256,0
2015-02-02,CS,13,中信期货,247,91
2015-02-02,CS,14,国海良时,187,8
2015-02-02,CS,15,国信期货,185,91
2015-02-02,CS,16,中国国际,180,29
2015-02-02,CS,17,宝城期货,158,0
2015-02-02,CS,18,银河期货,146,-38
2015-02-02,CS,19,弘业期货,139,34
2015-02-02,CS,20,申银万国,126,31
2015-02-03,CS,1,中国国际,725,465
2015-02-03,CS,2,中粮期货,674,1
2015-02-03,CS,3,方正中期,597,-22
2015-02-03,CS,4,新湖期货,417,87
2015-02-03,CS,5,国投期货,405,-2
2015-02-03,CS,6,永安期货,394,-47
2015-02-03,CS,7,安粮期货,383,28
2015-02-03,CS,8,广永期货,310,0
2015-02-03,CS,9,光大期货,284,3
2015-02-03,CS,10,浙商期货,275,-68
2015-02-03,CS,11,上海中期,269,-7
2015-02-03,CS,12,中信期货,263,16
2015-02-03,CS,13,海航东银,256,0
2015-02-03,CS,14,国海良时,187,0
2015-02-03,CS,15,国信期货,185,0
2015-02-03,CS,16,广发期货,166,-65
2015-02-03,CS,17,宝城期货,158,0
2015-02-03,CS,18,银河期货,147,1
2015-02-03,CS,19,申银万国,143,17
2015-02-03,CS,20,津投期货,124,24
2015-02-04,CS,1,中粮期货,669,-5
2015-02-04,CS,2,方正中期,606,9
2015-02-04,CS,3,中国国际,538,-187
2015-02-04,CS,4,安粮期货,499,116
2015-02-04,CS,5,国投期货,435,30
2015-02-04,CS,6,新湖期货,431,14
2015-02-04,CS,7,光大期货,320,36
2015-02-04,CS,8,广永期货,310,0
2015-02-04,CS,9,津投期货,296,196
2015-02-04,CS,10,上海中期,282,13
2015-02-04,CS,11,浙商期货,282,7
2015-02-04,CS,12,海航东银,258,2
2015-02-04,CS,13,国信期货,238,53
2015-02-04,CS,14,中信期货,191,-72
2015-02-04,CS,15,国海良时,187,0
2015-02-04,CS,16,申银万国,183,40
2015-02-04,CS,17,银河期货,171,24
2015-02-04,CS,18,永安期货,171,-223
2015-02-04,CS,19,广发期货,162,-4
2015-02-04,CS,20,宝城期货,158,0
2015-02-05,CS,1,中粮期货,974,305
2015-02-05,CS,2,光大期货,744,424
