trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,A,1,北京中期,6247,-715
2013-11-05,A,2,海通期货,5600,-237
2013-11-05,A,3,北京首创,5151,-375
2013-11-05,A,4,五矿期货,4965,-88
2013-11-05,A,5,国投期货,4853,-30
2013-11-05,A,6,永安期货,3910,-176
2013-11-05,A,7,宏源期货,3493,60
2013-11-05,A,8,大地期货,2583,61
2013-11-05,A,9,中国国际,2232,-91
2013-11-05,A,10,上海良茂,1719,4
2013-11-05,A,11,格林期货,1691,36
2013-11-05,A,12,银河期货,1579,-26
2013-11-05,A,13,中证期货,1266,539
2013-11-05,A,14,光大期货,1251,-28
2013-11-05,A,15,兴证期货,1169,-146
2013-11-05,A,16,中信建投,1072,-16
2013-11-05,A,17,渤海期货,1067,7
2013-11-05,A,18,东证期货,1007,30
2013-11-05,A,19,一德期货,1002,0
2013-11-05,A,20,信达期货,988,-75
2013-11-06,A,1,北京中期,6235,-12
2013-11-06,A,2,海通期货,5636,36
2013-11-06,A,3,国投期货,5541,688
2013-11-06,A,4,五矿期货,4972,7
2013-11-06,A,5,北京首创,3847,-1304
2013-11-06,A,6,永安期货,3746,-164
2013-11-06,A,7,宏源期货,3441,-52
2013-11-06,A,8,大地期货,2652,69
2013-11-06,A,9,中国国际,2093,-139
2013-11-06,A,10,上海良茂,1720,1
2013-11-06,A,11,格林期货,1650,-41
2013-11-06,A,12,银河期货,1626,47
2013-11-06,A,13,中证期货,1295,29
2013-11-06,A,14,光大期货,1250,-1
2013-11-06,A,15,渤海期货,1071,4
2013-11-06,A,16,中信建投,1064,-8
2013-11-06,A,17,信达期货,1035,47
2013-11-06,A,18,一德期货,1002,0
2013-11-06,A,19,东证期货,1000,-7
2013-11-06,A,20,兴证期货,913,-256
2013-11-07,A,1,北京中期,5924,-311
2013-11-07,A,2,国投期货,5539,-2
2013-11-07,A,3,海通期货,5061,-575
2013-11-07,A,4,五矿期货,4914,-58
2013-11-07,A,5,中粮期货,3783,2999
2013-11-07,A,6,永安期货,3713,-33
2013-11-07,A,7,北京首创,3634,-213
2013-11-07,A,8,宏源期货,3423,-18
2013-11-07,A,9,大地期货,2660,8
2013-11-07,A,10,中国国际,2555,462
2013-11-07,A,11,上海良茂,1720,0
2013-11-07,A,12,格林期货,1655,5
2013-11-07,A,13,上海中期,1569,167
2013-11-07,A,14,银河期货,1513,-113
2013-11-07,A,15,中证期货,1280,-15
2013-11-07,A,16,光大期货,1236,-14
2013-11-07,A,17,兴证期货,1181,268
2013-11-07,A,18,渤海期货,1057,-14
2013-11-07,A,19,信达期货,1019,-16
2013-11-07,A,20,中信建投,1019,-45
2013-11-08,A,1,国投期货,5536,-3
2013-11-08,A,2,五矿期货,4932,18
2013-11-08,A,3,北京中期,4830,-1094
2013-11-08,A,4,海通期货,4639,-422
2013-11-08,A,5,永安期货,3821,108
2013-11-08,A,6,宏源期货,3405,-18
2013-11-08,A,7,中粮期货,3327,-456
2013-11-08,A,8,北京首创,3072,118
2013-11-08,A,9,中国国际,3071,691
2013-11-08,A,10,大地期货,2665,5
2013-11-08,A,11,格林期货,1769,114
2013-11-08,A,12,上海良茂,1715,-5
2013-11-08,A,13,上海中期,1601,32
2013-11-08,A,14,银河期货,1356,-157
2013-11-08,A,15,中证期货,1230,-50
2013-11-08,A,16,深圳金汇,1201,550
2013-11-08,A,17,兴证期货,1162,-19
2013-11-08,A,18,渤海期货,1059,2
2013-11-08,A,19,中信建投,1021,2
2013-11-08,A,20,一德期货,1004,0
2013-11-11,A,1,国投期货,5236,-300
2013-11-11,A,2,海通期货,4555,74
2013-11-11,A,3,中国国际,4139,1068
2013-11-11,A,4,永安期货,3988,167
2013-11-11,A,5,北京中期,3572,-1258
2013-11-11,A,6,宏源期货,3453,48
2013-11-11,A,7,中粮期货,3383,56
2013-11-11,A,8,北京首创,3026,-46
2013-11-11,A,9,五矿期货,2810,-2122
2013-11-11,A,10,大地期货,2699,34
2013-11-11,A,11,大连良运,1820,783
2013-11-11,A,12,上海良茂,1720,5
2013-11-11,A,13,格林期货,1701,-68
2013-11-11,A,14,银河期货,1513,157
2013-11-11,A,15,中证期货,1312,82
2013-11-11,A,16,深圳金汇,1212,11
2013-11-11,A,17,渤海期货,1164,105
2013-11-11,A,18,华安期货,1111,453
2013-11-11,A,19,中信建投,1099,78
2013-11-11,A,20,信达期货,1086,270
2013-11-12,A,1,国投期货,5232,-4
2013-11-12,A,2,海通期货,4326,-82
2013-11-12,A,3,北京中期,3963,391
2013-11-12,A,4,永安期货,3827,-161
2013-11-12,A,5,宏源期货,3742,101
2013-11-12,A,6,中粮期货,3458,75
2013-11-12,A,7,北京首创,3050,24
2013-11-12,A,8,五矿期货,2813,3
2013-11-12,A,9,大地期货,2775,76
2013-11-12,A,10,银河期货,2771,1258
2013-11-12,A,11,中国国际,2206,-1933
2013-11-12,A,12,大连良运,1999,179
2013-11-12,A,13,上海良茂,1729,9
2013-11-12,A,14,格林期货,1682,-19
2013-11-12,A,15,上海中期,1563,29
2013-11-12,A,16,信达期货,1521,435
2013-11-12,A,17,渤海期货,1241,76
2013-11-12,A,18,中信建投,1213,114
2013-11-12,A,19,华安期货,1161,50
2013-11-12,A,20,中证期货,1103,-60
2013-11-13,A,1,国投期货,5227,-5
2013-11-13,A,2,海通期货,4507,63
2013-11-13,A,3,北京中期,3974,11
2013-11-13,A,4,永安期货,3621,-206
2013-11-13,A,5,宏源期货,3459,25
2013-11-13,A,6,中粮期货,3402,-56
2013-11-13,A,7,北京首创,3067,17
2013-11-13,A,8,银河期货,2922,151
2013-11-13,A,9,大地期货,2774,-1
2013-11-13,A,10,五矿期货,2747,-66
2013-11-13,A,11,大连良运,1931,-68
2013-11-13,A,12,上海良茂,1734,5
2013-11-13,A,13,格林期货,1677,-5
2013-11-13,A,14,中国国际,1670,-536
2013-11-13,A,15,上海中期,1620,57
2013-11-13,A,16,信达期货,1500,-21
2013-11-13,A,17,渤海期货,1234,-7
2013-11-13,A,18,中信建投,1205,-8
2013-11-13,A,19,一德期货,977,0
2013-11-13,A,20,新湖期货,936,13
2013-11-14,A,1,国投期货,5225,-2
2013-11-14,A,2,海通期货,4636,242
2013-11-14,A,3,北京中期,3997,23
2013-11-14,A,4,永安期货,3652,31
2013-11-14,A,5,宏源期货,3465,6
2013-11-14,A,6,中粮期货,3412,10
2013-11-14,A,7,北京首创,3051,-16
2013-11-14,A,8,银河期货,3012,90
2013-11-14,A,9,五矿期货,2745,-2
2013-11-14,A,10,大地期货,2691,-83
2013-11-14,A,11,大连良运,1936,35
2013-11-14,A,12,上海良茂,1730,-4
2013-11-14,A,13,中国国际,1703,-80
2013-11-14,A,14,格林期货,1657,-20
2013-11-14,A,15,上海中期,1590,-30
2013-11-14,A,16,信达期货,1402,-100
2013-11-14,A,17,中信建投,1217,12
2013-11-14,A,18,渤海期货,1182,-52
2013-11-14,A,19,一德期货,1092,25
2013-11-14,A,20,光大期货,1070,-45
2013-11-15,A,1,国投期货,4964,-261
2013-11-15,A,2,海通期货,4598,-38
2013-11-15,A,3,北京中期,3771,-226
2013-11-15,A,4,永安期货,3696,44
2013-11-15,A,5,宏源期货,3467,2
2013-11-15,A,6,中粮期货,3422,10
2013-11-15,A,7,北京首创,3013,-38
2013-11-15,A,8,银河期货,2772,-240
2013-11-15,A,9,五矿期货,2742,-3
2013-11-15,A,10,大地期货,2638,-53
2013-11-15,A,11,中国国际,1830,242
2013-11-15,A,12,格林期货,1770,113
2013-11-15,A,13,大连良运,1759,-177
2013-11-15,A,14,上海良茂,1681,0
2013-11-15,A,15,上海中期,1515,-75
2013-11-15,A,16,信达期货,1482,80
2013-11-15,A,17,天富期货,1317,1312
2013-11-15,A,18,渤海期货,1190,8
2013-11-15,A,19,一德期货,1108,16
2013-11-15,A,20,新湖期货,1034,248
2013-11-18,A,1,国投期货,4856,11
2013-11-18,A,2,海通期货,4482,-116
2013-11-18,A,3,北京中期,3766,-5
2013-11-18,A,4,永安期货,3615,-81
2013-11-18,A,5,宏源期货,3612,12
2013-11-18,A,6,中粮期货,3414,-8
2013-11-18,A,7,银河期货,3140,368
2013-11-18,A,8,北京首创,2981,-32
2013-11-18,A,9,五矿期货,2779,37
2013-11-18,A,10,大地期货,2635,-3
2013-11-18,A,11,中国国际,1810,-131
2013-11-18,A,12,天富期货,1681,364
2013-11-18,A,13,上海良茂,1678,-3
2013-11-18,A,14,大连良运,1672,-87
2013-11-18,A,15,信达期货,1601,119
2013-11-18,A,16,中信建投,1506,373
2013-11-18,A,17,一德期货,1160,56
2013-11-18,A,18,中投期货,932,126
2013-11-18,A,19,渤海期货,890,-300
2013-11-18,A,20,鲁证期货,726,254
2013-11-19,A,1,国投期货,5111,146
2013-11-19,A,2,海通期货,4422,-60
2013-11-19,A,3,永安期货,3867,252
2013-11-19,A,4,北京中期,3776,10
2013-11-19,A,5,宏源期货,3611,-1
2013-11-19,A,6,中粮期货,3412,-2
2013-11-19,A,7,北京首创,3283,302
2013-11-19,A,8,银河期货,3178,38
2013-11-19,A,9,五矿期货,2777,-2
2013-11-19,A,10,大地期货,2065,-570
2013-11-19,A,11,大连良运,2027,355
2013-11-19,A,12,天富期货,1997,316
2013-11-19,A,13,信达期货,1869,268
2013-11-19,A,14,中国国际,1777,-33
2013-11-19,A,15,上海良茂,1670,-8
2013-11-19,A,16,中信建投,1312,-194
2013-11-19,A,17,中投期货,1173,156
2013-11-19,A,18,一德期货,1156,-2
2013-11-19,A,19,新湖期货,1093,273
2013-11-19,A,20,渤海期货,909,19
2013-11-20,A,1,国投期货,5119,8
2013-11-20,A,2,中粮期货,4412,1000
2013-11-20,A,3,海通期货,4399,-23
2013-11-20,A,4,永安期货,3989,122
2013-11-20,A,5,北京中期,3766,-10
2013-11-20,A,6,宏源期货,3722,111
2013-11-20,A,7,银河期货,3238,60
2013-11-20,A,8,北京首创,3231,-52
2013-11-20,A,9,五矿期货,2828,51
2013-11-20,A,10,信达期货,2186,317
2013-11-20,A,11,天富期货,2077,80
2013-11-20,A,12,大连良运,1987,-40
2013-11-20,A,13,中国国际,1981,204
2013-11-20,A,14,大地期货,1635,-430
2013-11-20,A,15,新湖期货,1404,311
2013-11-20,A,16,中信建投,1325,13
2013-11-20,A,17,上海良茂,1270,-400
2013-11-20,A,18,一德期货,1182,26
2013-11-20,A,19,中投期货,1139,79
2013-11-20,A,20,鲁证期货,950,166
2013-11-21,A,1,国投期货,5119,0
2013-11-21,A,2,永安期货,4625,636
2013-11-21,A,3,中粮期货,4411,-1
2013-11-21,A,4,银河期货,4067,829
2013-11-21,A,5,海通期货,3801,-699
2013-11-21,A,6,北京中期,3764,-2
2013-11-21,A,7,宏源期货,3634,55
2013-11-21,A,8,北京首创,3255,24
2013-11-21,A,9,五矿期货,2890,62
2013-11-21,A,10,信达期货,2327,141
2013-11-21,A,11,天富期货,2079,2
2013-11-21,A,12,中国国际,2068,87
2013-11-21,A,13,大连良运,1991,4
2013-11-21,A,14,大地期货,1619,-16
2013-11-21,A,15,上海良茂,1274,4
2013-11-21,A,16,新湖期货,1260,-144
2013-11-21,A,17,一德期货,1215,33
2013-11-21,A,18,中信建投,1197,32
2013-11-21,A,19,中投期货,1164,27
2013-11-21,A,20,鲁证期货,955,6
2013-11-22,A,1,国投期货,5118,-1
2013-11-22,A,2,永安期货,4807,182
2013-11-22,A,3,中粮期货,4408,-3
2013-11-22,A,4,银河期货,3997,-70
2013-11-22,A,5,北京中期,3759,-5
2013-11-22,A,6,宏源期货,3673,39
2013-11-22,A,7,北京首创,3223,-32
2013-11-22,A,8,五矿期货,2886,-4
2013-11-22,A,9,海通期货,2841,-923
2013-11-22,A,10,天富期货,2537,458
2013-11-22,A,11,信达期货,2527,200
2013-11-22,A,12,中国国际,2038,-30
2013-11-22,A,13,大连良运,1960,-31
2013-11-22,A,14,大地期货,1597,-22
2013-11-22,A,15,新湖期货,1380,120
2013-11-22,A,16,上海良茂,1271,-3
2013-11-22,A,17,一德期货,1222,8
2013-11-22,A,18,中信建投,1152,-45
2013-11-22,A,19,广发期货,901,192
2013-11-22,A,20,渤海期货,899,-8
2013-11-25,A,1,国投期货,5118,0
2013-11-25,A,2,中粮期货,4415,7
2013-11-25,A,3,永安期货,4261,-546
2013-11-25,A,4,银河期货,3754,-243
2013-11-25,A,5,北京中期,3694,-65
2013-11-25,A,6,宏源期货,3623,-50
2013-11-25,A,7,北京首创,2917,-264
2013-11-25,A,8,五矿期货,2876,-10
2013-11-25,A,9,海通期货,2662,-216
2013-11-25,A,10,天富期货,2540,3
2013-11-25,A,11,信达期货,2441,-86
2013-11-25,A,12,大连良运,1896,-64
2013-11-25,A,13,中国国际,1763,-275
2013-11-25,A,14,大地期货,1562,-35
2013-11-25,A,15,一德期货,1436,91
2013-11-25,A,16,鲁证期货,1388,421
2013-11-25,A,17,中信建投,1327,24
2013-11-25,A,18,新湖期货,1310,-70
2013-11-25,A,19,上海良茂,1234,-37
2013-11-25,A,20,中投期货,1162,78
2013-11-26,A,1,国投期货,5041,31
2013-11-26,A,2,中粮期货,4418,3
2013-11-26,A,3,永安期货,4198,-63
2013-11-26,A,4,银河期货,3978,224
2013-11-26,A,5,北京中期,3689,-5
2013-11-26,A,6,宏源期货,3668,45
2013-11-26,A,7,北京首创,2918,1
2013-11-26,A,8,五矿期货,2881,5
2013-11-26,A,9,海通期货,2725,63
2013-11-26,A,10,天富期货,2542,2
2013-11-26,A,11,信达期货,2293,-148
2013-11-26,A,12,大连良运,1844,-52
2013-11-26,A,13,中国国际,1646,-117
2013-11-26,A,14,鲁证期货,1566,178
2013-11-26,A,15,一德期货,1440,4
2013-11-26,A,16,中投期货,1407,172
2013-11-26,A,17,新湖期货,1268,-42
2013-11-26,A,18,上海良茂,1226,-8
2013-11-26,A,19,中信建投,1176,19
2013-11-26,A,20,广发期货,1055,-3
2013-11-27,A,1,国投期货,5165,-8
2013-11-27,A,2,中粮期货,4463,45
2013-11-27,A,3,永安期货,4145,-53
2013-11-27,A,4,银河期货,3999,21
2013-11-27,A,5,宏源期货,3724,56
2013-11-27,A,6,北京中期,3685,-4
2013-11-27,A,7,北京首创,2886,-32
2013-11-27,A,8,五矿期货,2884,3
2013-11-27,A,9,海通期货,2658,-67
2013-11-27,A,10,天富期货,2541,-1
2013-11-27,A,11,信达期货,2352,59
2013-11-27,A,12,大连良运,1813,-31
2013-11-27,A,13,中国国际,1609,-37
2013-11-27,A,14,中投期货,1410,3
2013-11-27,A,15,一德期货,1250,5
2013-11-27,A,16,上海良茂,1218,-8
2013-11-27,A,17,中信建投,1156,-20
2013-11-27,A,18,鲁证期货,872,-694
2013-11-27,A,19,广发期货,850,-205
2013-11-27,A,20,东航期货,841,32
2013-11-28,A,1,国投期货,5516,333
2013-11-28,A,2,银河期货,4878,879
2013-11-28,A,3,中粮期货,4525,45
2013-11-28,A,4,永安期货,4353,208
2013-11-28,A,5,北京中期,3685,0
2013-11-28,A,6,宏源期货,3639,-85
2013-11-28,A,7,五矿期货,3014,130
2013-11-28,A,8,北京首创,2900,14
2013-11-28,A,9,海通期货,2607,-51
2013-11-28,A,10,天富期货,2543,2
2013-11-28,A,11,信达期货,2356,4
2013-11-28,A,12,中国国际,1824,215
2013-11-28,A,13,大连良运,1760,-53
2013-11-28,A,14,一德期货,1348,98
2013-11-28,A,15,中投期货,1331,-79
2013-11-28,A,16,新湖期货,1258,130
2013-11-28,A,17,上海良茂,1228,10
2013-11-28,A,18,中信建投,1178,22
2013-11-28,A,19,东证期货,1067,728
2013-11-28,A,20,鲁证期货,994,122
2013-11-29,A,1,国投期货,6033,517
2013-11-29,A,2,中粮期货,4943,418
2013-11-29,A,3,银河期货,4882,4
2013-11-29,A,4,永安期货,4325,-28
2013-11-29,A,5,北京中期,3683,-2
2013-11-29,A,6,宏源期货,3622,-17
2013-11-29,A,7,五矿期货,2996,-18
2013-11-29,A,8,北京首创,2847,-53
2013-11-29,A,9,海通期货,2591,-16
2013-11-29,A,10,天富期货,2544,1
2013-11-29,A,11,信达期货,2398,42
2013-11-29,A,12,中国国际,1801,-23
2013-11-29,A,13,大连良运,1573,-187
2013-11-29,A,14,一德期货,1359,11
2013-11-29,A,15,上海良茂,1255,27
2013-11-29,A,16,中信建投,1180,2
2013-11-29,A,17,东证期货,1060,-7
2013-11-29,A,18,中投期货,1055,-2
2013-11-29,A,19,鲁证期货,1010,17
2013-11-29,A,20,长江期货,993,32
2013-12-02,A,1,国投期货,5397,-585
2013-12-02,A,2,银河期货,5016,134
2013-12-02,A,3,中粮期货,4816,-9
2013-12-02,A,4,永安期货,4142,-183
2013-12-02,A,5,宏源期货,3475,-147
2013-12-02,A,6,北京首创,2844,-3
2013-12-02,A,7,北京中期,2701,-1033
2013-12-02,A,8,天富期货,2585,41
2013-12-02,A,9,五矿期货,2525,-471
2013-12-02,A,10,信达期货,2397,-1
2013-12-02,A,11,海通期货,2169,-422
2013-12-02,A,12,中国国际,1747,-54
2013-12-02,A,13,大连良运,1609,36
2013-12-02,A,14,一德期货,1237,-122
2013-12-02,A,15,中证期货,1183,388
2013-12-02,A,16,中信建投,1158,-22
2013-12-02,A,17,中投期货,1057,2
2013-12-02,A,18,长江期货,929,-64
2013-12-02,A,19,鲁证期货,901,-108
2013-12-02,A,20,上海良茂,855,-400
2013-12-03,A,1,国投期货,5352,-45
2013-12-03,A,2,中粮期货,5133,317
2013-12-03,A,3,银河期货,4989,-27
2013-12-03,A,4,永安期货,4052,-90
2013-12-03,A,5,宏源期货,3434,-41
2013-12-03,A,6,北京首创,2843,-1
2013-12-03,A,7,北京中期,2630,-71
2013-12-03,A,8,天富期货,2566,-19
2013-12-03,A,9,五矿期货,2424,-101
2013-12-03,A,10,信达期货,2256,-141
2013-12-03,A,11,海通期货,1617,-552
2013-12-03,A,12,中国国际,1563,-183
2013-12-03,A,13,大连良运,1370,-239
2013-12-03,A,14,新湖期货,1228,18
2013-12-03,A,15,中信建投,1157,-1
2013-12-03,A,16,一德期货,1144,0
2013-12-03,A,17,中投期货,1003,-54
2013-12-03,A,18,弘业期货,889,219
2013-12-03,A,19,上海良茂,855,0
2013-12-03,A,20,长江期货,850,-79
2013-12-04,A,1,国投期货,5370,18
2013-12-04,A,2,中粮期货,5133,0
2013-12-04,A,3,银河期货,4944,-45
2013-12-04,A,4,永安期货,3908,-144
2013-12-04,A,5,宏源期货,3407,-27
2013-12-04,A,6,北京首创,2838,-5
2013-12-04,A,7,天富期货,2728,162
2013-12-04,A,8,北京中期,2628,-2
2013-12-04,A,9,五矿期货,2324,-100
2013-12-04,A,10,信达期货,2173,-83
2013-12-04,A,11,中国国际,1561,-2
2013-12-04,A,12,新湖期货,1464,236
2013-12-04,A,13,海通期货,1406,55
2013-12-04,A,14,中证期货,1252,448
2013-12-04,A,15,中信建投,1208,51
2013-12-04,A,16,一德期货,1144,0
2013-12-04,A,17,华泰长城,1137,548
2013-12-04,A,18,长江期货,864,14
2013-12-04,A,19,弘业期货,858,-31
2013-12-04,A,20,上海良茂,828,-27
2013-12-05,A,1,中粮期货,5422,289
2013-12-05,A,2,国投期货,5390,20
2013-12-05,A,3,银河期货,4891,-53
2013-12-05,A,4,永安期货,3651,-188
2013-12-05,A,5,宏源期货,3402,-5
2013-12-05,A,6,北京中期,2899,271
2013-12-05,A,7,北京首创,2839,1
2013-12-05,A,8,天富期货,2703,-25
2013-12-05,A,9,五矿期货,2224,-100
2013-12-05,A,10,信达期货,2061,-111
2013-12-05,A,11,新湖期货,1455,-9
2013-12-05,A,12,中证期货,1277,25
2013-12-05,A,13,海通期货,1247,-159
2013-12-05,A,14,中信建投,1214,6
2013-12-05,A,15,大连良运,1183,88
2013-12-05,A,16,一德期货,1123,-21
2013-12-05,A,17,中投期货,1042,76
2013-12-05,A,18,弘业期货,903,45
2013-12-05,A,19,长江期货,899,35
2013-12-05,A,20,东航期货,831,11
2013-12-06,A,1,中粮期货,5606,184
2013-12-06,A,2,国投期货,5396,6
2013-12-06,A,3,银河期货,4911,20
2013-12-06,A,4,北京中期,4437,1538
2013-12-06,A,5,永安期货,3734,55
2013-12-06,A,6,宏源期货,3410,-27
2013-12-06,A,7,北京首创,2881,42
2013-12-06,A,8,天富期货,2703,0
2013-12-06,A,9,五矿期货,2222,-2
2013-12-06,A,10,信达期货,1747,-314
2013-12-06,A,11,新湖期货,1456,1
2013-12-06,A,12,海通期货,1221,-61
2013-12-06,A,13,大连良运,1183,0
2013-12-06,A,14,中信建投,1162,-52
2013-12-06,A,15,中证期货,1128,-149
2013-12-06,A,16,一德期货,1124,2
2013-12-06,A,17,中投期货,1010,-32
2013-12-06,A,18,长江期货,967,68
2013-12-06,A,19,东航期货,804,-27
2013-12-06,A,20,华泰长城,683,-122
2013-12-09,A,1,中粮期货,5606,0
2013-12-09,A,2,国投期货,5358,-38
2013-12-09,A,3,北京中期,4845,482
2013-12-09,A,4,银河期货,4835,-76
2013-12-09,A,5,永安期货,3520,-180
2013-12-09,A,6,宏源期货,3437,27
2013-12-09,A,7,北京首创,2893,12
2013-12-09,A,8,天富期货,2703,0
2013-12-09,A,9,五矿期货,2168,-54
2013-12-09,A,10,信达期货,1754,7
2013-12-09,A,11,海通期货,1727,351
2013-12-09,A,12,新湖期货,1355,-101
2013-12-09,A,13,东航期货,1335,135
2013-12-09,A,14,一德期货,1124,0
2013-12-09,A,15,大连良运,1110,-73
2013-12-09,A,16,中信建投,1076,-86
2013-12-09,A,17,长江期货,1066,99
2013-12-09,A,18,中投期货,865,-145
2013-12-09,A,19,中证期货,778,-350
2013-12-09,A,20,上海中期,654,86
2013-12-10,A,1,国投期货,6407,982
2013-12-10,A,2,北京中期,5609,764
2013-12-10,A,3,中粮期货,5584,-22
2013-12-10,A,4,银河期货,3997,-838
2013-12-10,A,5,永安期货,3541,21
2013-12-10,A,6,宏源期货,3406,-31
2013-12-10,A,7,北京首创,2879,-14
2013-12-10,A,8,天富期货,2703,0
2013-12-10,A,9,五矿期货,1988,-180
2013-12-10,A,10,海通期货,1956,229
2013-12-10,A,11,信达期货,1708,-46
2013-12-10,A,12,大连良运,1271,161
2013-12-10,A,13,东航期货,1252,-83
2013-12-10,A,14,新湖期货,1125,-229
2013-12-10,A,15,一德期货,1122,-2
2013-12-10,A,16,中信建投,1079,3
2013-12-10,A,17,长江期货,1072,6
2013-12-10,A,18,中投期货,916,51
2013-12-10,A,19,中证期货,812,34
2013-12-10,A,20,南华期货,670,50
2013-12-11,A,1,国投期货,6644,237
2013-12-11,A,2,北京中期,5663,54
2013-12-11,A,3,中粮期货,5575,-9
2013-12-11,A,4,银河期货,3802,-195
2013-12-11,A,5,永安期货,3548,7
2013-12-11,A,6,宏源期货,3439,33
2013-12-11,A,7,北京首创,2879,0
2013-12-11,A,8,天富期货,2703,0
2013-12-11,A,9,海通期货,2230,274
2013-12-11,A,10,五矿期货,1983,50
2013-12-11,A,11,信达期货,1717,9
2013-12-11,A,12,东航期货,1320,68
2013-12-11,A,13,大连良运,1266,-5
2013-12-11,A,14,新湖期货,1200,75
2013-12-11,A,15,中信建投,1079,0
2013-12-11,A,16,长江期货,1066,-6
2013-12-11,A,17,一德期货,1019,-103
2013-12-11,A,18,中投期货,877,-39
2013-12-11,A,19,中证期货,795,-17
2013-12-11,A,20,东证期货,741,80
2013-12-12,A,1,国投期货,7930,1286
2013-12-12,A,2,北京中期,5915,202
2013-12-12,A,3,中粮期货,5584,9
2013-12-12,A,4,银河期货,3544,-258
2013-12-12,A,5,永安期货,3418,-130
2013-12-12,A,6,宏源期货,3406,-33
2013-12-12,A,7,北京首创,2878,-1
2013-12-12,A,8,天富期货,2703,0
2013-12-12,A,9,海通期货,2229,24
2013-12-12,A,10,五矿期货,1983,0
2013-12-12,A,11,信达期货,1551,-166
2013-12-12,A,12,东航期货,1317,-3
2013-12-12,A,13,大连良运,1223,-43
2013-12-12,A,14,新湖期货,1161,-39
2013-12-12,A,15,中信建投,1071,-8
2013-12-12,A,16,一德期货,1015,-4
2013-12-12,A,17,安粮期货,995,464
2013-12-12,A,18,长江期货,967,-99
2013-12-12,A,19,中投期货,812,-65
2013-12-12,A,20,上海中期,803,11
2013-12-13,A,1,国投期货,9152,1222
2013-12-13,A,2,北京中期,6130,215
2013-12-13,A,3,中粮期货,5578,-6
2013-12-13,A,4,宏源期货,3384,-22
2013-12-13,A,5,永安期货,3141,-277
2013-12-13,A,6,银河期货,3090,-454
2013-12-13,A,7,北京首创,2928,4
2013-12-13,A,8,天富期货,2703,0
2013-12-13,A,9,海通期货,2212,-17
2013-12-13,A,10,五矿期货,1981,-2
2013-12-13,A,11,信达期货,1443,-108
2013-12-13,A,12,东航期货,1359,42
2013-12-13,A,13,大连良运,1181,-42
2013-12-13,A,14,中信建投,1062,-9
2013-12-13,A,15,长江期货,1011,21
2013-12-13,A,16,安粮期货,911,-84
2013-12-13,A,17,中证期货,808,10
2013-12-13,A,18,上海中期,805,2
2013-12-13,A,19,一德期货,743,-272
2013-12-13,A,20,中投期货,719,-93
2013-12-16,A,1,国投期货,7393,-1759
2013-12-16,A,2,北京中期,4454,-1622
2013-12-16,A,3,银河期货,4005,915
2013-12-16,A,4,中粮期货,3570,-2008
2013-12-16,A,5,永安期货,3550,409
2013-12-16,A,6,宏源期货,3369,7
2013-12-16,A,7,天富期货,2704,1
2013-12-16,A,8,北京首创,2378,-550
2013-12-16,A,9,海通期货,2068,-144
2013-12-16,A,10,中证期货,1806,891
2013-12-16,A,11,五矿期货,1750,-231
2013-12-16,A,12,宝城期货,1473,968
2013-12-16,A,13,新湖期货,1445,475
2013-12-16,A,14,东航期货,1331,-28
2013-12-16,A,15,中国国际,1165,198
2013-12-16,A,16,信达期货,1023,11
2013-12-16,A,17,长江期货,1003,-8
2013-12-16,A,18,中信建投,900,-162
2013-12-16,A,19,中衍期货,892,228
2013-12-16,A,20,大连良运,762,-46
2013-12-17,A,1,国投期货,7118,-275
2013-12-17,A,2,北京中期,5173,719
2013-12-17,A,3,银河期货,4095,90
2013-12-17,A,4,永安期货,4042,480
2013-12-17,A,5,中粮期货,3570,0
2013-12-17,A,6,宏源期货,3362,-7
2013-12-17,A,7,北京首创,2370,-8
2013-12-17,A,8,海通期货,2119,40
2013-12-17,A,9,天富期货,2030,-674
2013-12-17,A,10,中证期货,1661,-145
2013-12-17,A,11,五矿期货,1653,-97
2013-12-17,A,12,宝城期货,1460,-13
2013-12-17,A,13,东航期货,1337,6
2013-12-17,A,14,中国国际,1274,109
2013-12-17,A,15,新湖期货,1106,-338
2013-12-17,A,16,长江期货,1081,78
2013-12-17,A,17,大连良运,1072,-63
2013-12-17,A,18,信达期货,1014,-9
2013-12-17,A,19,中衍期货,984,92
2013-12-17,A,20,中信建投,844,-56
2013-12-18,A,1,国投期货,7023,-95
2013-12-18,A,2,北京中期,5681,508
2013-12-18,A,3,永安期货,4828,798
2013-12-18,A,4,银河期货,4201,106
2013-12-18,A,5,中粮期货,3475,-95
2013-12-18,A,6,宏源期货,3373,1
2013-12-18,A,7,北京首创,2371,1
2013-12-18,A,8,海通期货,2258,139
2013-12-18,A,9,天富期货,2190,160
2013-12-18,A,10,五矿期货,1642,-11
2013-12-18,A,11,宝城期货,1624,164
2013-12-18,A,12,中证期货,1502,-159
2013-12-18,A,13,东航期货,1299,0
2013-12-18,A,14,中衍期货,1245,261
2013-12-18,A,15,中国国际,1226,-48
2013-12-18,A,16,大连良运,1119,47
2013-12-18,A,17,信达期货,1017,3
2013-12-18,A,18,长江期货,925,-156
2013-12-18,A,19,中信建投,819,-25
2013-12-18,A,20,京都期货,797,770
2013-12-19,A,1,国投期货,8004,981
2013-12-19,A,2,北京中期,5715,34
2013-12-19,A,3,永安期货,4885,57
