trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-08,JD,1,永安期货,3016,3016
2013-11-08,JD,2,万达期货,1880,1880
2013-11-08,JD,3,银河期货,1676,1676
2013-11-08,JD,4,国泰君安,1619,1619
2013-11-08,JD,5,大地期货,1609,1609
2013-11-08,JD,6,中证期货,1585,1585
2013-11-08,JD,7,天琪期货,1271,1271
2013-11-08,JD,8,浙商期货,1101,1101
2013-11-08,JD,9,华泰长城,1080,1080
2013-11-08,JD,10,光大期货,1063,1063
2013-11-08,JD,11,海通期货,1038,1038
2013-11-08,JD,12,北京首创,885,885
2013-11-08,JD,13,徽商期货,707,707
2013-11-08,JD,14,财富期货,600,600
2013-11-08,JD,15,东证期货,540,540
2013-11-08,JD,16,浙江中大,480,480
2013-11-08,JD,17,成都倍特,436,436
2013-11-08,JD,18,金瑞期货,410,410
2013-11-08,JD,19,五矿期货,395,395
2013-11-08,JD,20,安信期货,393,393
2013-11-11,JD,1,永安期货,3259,243
2013-11-11,JD,2,万达期货,2038,158
2013-11-11,JD,3,国泰君安,1697,78
2013-11-11,JD,4,大地期货,1581,-1
2013-11-11,JD,5,银河期货,1491,-185
2013-11-11,JD,6,天琪期货,1400,129
2013-11-11,JD,7,中证期货,1246,-339
2013-11-11,JD,8,光大期货,1144,106
2013-11-11,JD,9,浙商期货,984,-117
2013-11-11,JD,10,北京首创,893,8
2013-11-11,JD,11,海通期货,842,-93
2013-11-11,JD,12,长江期货,678,527
2013-11-11,JD,13,华泰长城,626,-454
2013-11-11,JD,14,浙江中大,625,145
2013-11-11,JD,15,上海中期,619,236
2013-11-11,JD,16,东证期货,524,-16
2013-11-11,JD,17,徽商期货,504,175
2013-11-11,JD,18,美尔雅期货,499,242
2013-11-11,JD,19,南证期货,498,284
2013-11-11,JD,20,弘业期货,453,376
2013-11-12,JD,1,永安期货,3482,223
2013-11-12,JD,2,万达期货,2042,4
2013-11-12,JD,3,国泰君安,1747,50
2013-11-12,JD,4,大地期货,1520,-61
2013-11-12,JD,5,浙商期货,1076,92
2013-11-12,JD,6,中证期货,1063,-165
2013-11-12,JD,7,天琪期货,1044,107
2013-11-12,JD,8,银河期货,1036,-455
2013-11-12,JD,9,海通期货,968,126
2013-11-12,JD,10,光大期货,921,-223
2013-11-12,JD,11,北京首创,895,2
2013-11-12,JD,12,金瑞期货,784,250
2013-11-12,JD,13,长江期货,752,105
2013-11-12,JD,14,宝城期货,712,16
2013-11-12,JD,15,财富期货,600,0
2013-11-12,JD,16,东证期货,593,69
2013-11-12,JD,17,美尔雅期货,591,92
2013-11-12,JD,18,南证期货,533,35
2013-11-12,JD,19,上海中期,445,-174
2013-11-12,JD,20,安信期货,384,9
2013-11-13,JD,1,永安期货,3553,71
2013-11-13,JD,2,万达期货,1975,-17
2013-11-13,JD,3,国泰君安,1844,97
2013-11-13,JD,4,大地期货,1592,72
2013-11-13,JD,5,光大期货,1205,284
2013-11-13,JD,6,海通期货,1161,193
2013-11-13,JD,7,浙商期货,1156,80
2013-11-13,JD,8,中证期货,881,-182
2013-11-13,JD,9,天琪期货,818,-226
2013-11-13,JD,10,北京首创,782,127
2013-11-13,JD,11,金瑞期货,754,-30
2013-11-13,JD,12,长江期货,746,-6
2013-11-13,JD,13,银河期货,734,-302
2013-11-13,JD,14,宝城期货,692,-20
2013-11-13,JD,15,南证期货,633,100
2013-11-13,JD,16,财富期货,600,0
2013-11-13,JD,17,东证期货,483,-110
2013-11-13,JD,18,国投期货,474,170
2013-11-13,JD,19,江苏新纪元,421,85
2013-11-13,JD,20,上海中期,412,-33
2013-11-14,JD,1,永安期货,3068,-485
2013-11-14,JD,2,万达期货,1983,8
2013-11-14,JD,3,国泰君安,1958,114
2013-11-14,JD,4,中投期货,1168,250
2013-11-14,JD,5,浙商期货,995,-161
2013-11-14,JD,6,海通期货,914,-247
2013-11-14,JD,7,光大期货,880,25
2013-11-14,JD,8,中证期货,864,-17
2013-11-14,JD,9,北京首创,789,7
2013-11-14,JD,10,长江期货,752,6
2013-11-14,JD,11,金瑞期货,742,-12
2013-11-14,JD,12,银河期货,690,-44
2013-11-14,JD,13,国投期货,669,195
2013-11-14,JD,14,南证期货,624,-9
2013-11-14,JD,15,大地期货,601,-79
2013-11-14,JD,16,财富期货,600,0
2013-11-14,JD,17,成都倍特,575,-17
2013-11-14,JD,18,江苏新纪元,471,50
2013-11-14,JD,19,东证期货,431,-52
2013-11-14,JD,20,中衍期货,384,-27
2013-11-15,JD,1,永安期货,3428,360
2013-11-15,JD,2,国泰君安,2025,67
2013-11-15,JD,3,万达期货,2024,41
2013-11-15,JD,4,中投期货,1193,25
2013-11-15,JD,5,浙商期货,952,-43
2013-11-15,JD,6,中证期货,931,67
2013-11-15,JD,7,华泰长城,879,668
2013-11-15,JD,8,光大期货,840,-40
2013-11-15,JD,9,海通期货,824,-90
2013-11-15,JD,10,长江期货,805,53
2013-11-15,JD,11,金瑞期货,735,-7
2013-11-15,JD,12,北京首创,705,-84
2013-11-15,JD,13,大地期货,621,20
2013-11-15,JD,14,国投期货,618,-51
2013-11-15,JD,15,方正期货,594,538
2013-11-15,JD,16,江苏新纪元,587,116
2013-11-15,JD,17,南证期货,536,-88
2013-11-15,JD,18,银河期货,495,156
2013-11-15,JD,19,中衍期货,422,38
2013-11-15,JD,20,安信期货,418,44
2013-11-18,JD,1,永安期货,3979,551
2013-11-18,JD,2,万达期货,2267,243
2013-11-18,JD,3,国泰君安,2040,15
2013-11-18,JD,4,浙商期货,1462,510
2013-11-18,JD,5,中投期货,1321,128
2013-11-18,JD,6,北京首创,1050,337
2013-11-18,JD,7,华泰长城,1022,143
2013-11-18,JD,8,南华期货,867,436
2013-11-18,JD,9,长江期货,859,54
2013-11-18,JD,10,光大期货,815,-25
2013-11-18,JD,11,银河期货,809,312
2013-11-18,JD,12,金瑞期货,734,-1
2013-11-18,JD,13,中证期货,652,127
2013-11-18,JD,14,方正期货,635,41
2013-11-18,JD,15,大地期货,602,-19
2013-11-18,JD,16,申银万国,512,179
2013-11-18,JD,17,海通期货,498,23
2013-11-18,JD,18,国海良时,480,121
2013-11-18,JD,19,安信期货,474,56
2013-11-18,JD,20,上海中期,465,103
2013-11-19,JD,1,永安期货,3421,-558
2013-11-19,JD,2,万达期货,2275,8
2013-11-19,JD,3,国泰君安,1988,-52
2013-11-19,JD,4,中投期货,1248,-73
2013-11-19,JD,5,光大期货,1178,36
2013-11-19,JD,6,华泰长城,973,-51
2013-11-19,JD,7,北京首创,965,-85
2013-11-19,JD,8,银河期货,809,0
2013-11-19,JD,9,南华期货,807,-60
2013-11-19,JD,10,长江期货,795,-64
2013-11-19,JD,11,金瑞期货,736,2
2013-11-19,JD,12,瑞达期货,647,264
2013-11-19,JD,13,方正期货,612,-23
2013-11-19,JD,14,大地期货,600,-2
2013-11-19,JD,15,中证期货,565,-87
2013-11-19,JD,16,海通期货,513,15
2013-11-19,JD,17,国海良时,505,25
2013-11-19,JD,18,浙商期货,474,-623
2013-11-19,JD,19,上海中期,440,-25
2013-11-19,JD,20,东证期货,439,29
2013-11-20,JD,1,永安期货,3204,-217
2013-11-20,JD,2,万达期货,2283,8
2013-11-20,JD,3,国泰君安,2148,160
2013-11-20,JD,4,华泰长城,1248,275
2013-11-20,JD,5,中投期货,1089,-159
2013-11-20,JD,6,银河期货,952,143
2013-11-20,JD,7,长江期货,837,42
2013-11-20,JD,8,光大期货,821,-2
2013-11-20,JD,9,海通期货,807,10
2013-11-20,JD,10,南华期货,793,-14
2013-11-20,JD,11,金瑞期货,700,-36
2013-11-20,JD,12,国海良时,653,148
2013-11-20,JD,13,瑞达期货,630,-18
2013-11-20,JD,14,方正期货,611,-1
2013-11-20,JD,15,大地期货,600,0
2013-11-20,JD,16,中证期货,569,4
2013-11-20,JD,17,浙商期货,568,95
2013-11-20,JD,18,北京首创,499,-36
2013-11-20,JD,19,东证期货,443,4
2013-11-20,JD,20,上海中期,428,-12
2013-11-21,JD,1,永安期货,3285,81
2013-11-21,JD,2,万达期货,2026,-257
2013-11-21,JD,3,国泰君安,1853,-295
2013-11-21,JD,4,中投期货,1060,-29
2013-11-21,JD,5,海通期货,859,52
2013-11-21,JD,6,银河期货,823,-129
2013-11-21,JD,7,长江期货,822,-15
2013-11-21,JD,8,大地期货,788,-69
2013-11-21,JD,9,光大期货,776,-43
2013-11-21,JD,10,华泰长城,773,-475
2013-11-21,JD,11,南华期货,751,-42
2013-11-21,JD,12,金瑞期货,714,14
2013-11-21,JD,13,瑞达期货,616,-14
2013-11-21,JD,14,美尔雅期货,608,85
2013-11-21,JD,15,方正期货,606,-5
2013-11-21,JD,16,中证期货,598,29
2013-11-21,JD,17,上海中期,496,68
2013-11-21,JD,18,北京首创,478,-21
2013-11-21,JD,19,国海良时,454,-199
2013-11-21,JD,20,浙商期货,444,-124
2013-11-22,JD,1,永安期货,3064,-221
2013-11-22,JD,2,万达期货,2085,59
2013-11-22,JD,3,国泰君安,1840,-13
2013-11-22,JD,4,中投期货,1089,29
2013-11-22,JD,5,海通期货,887,28
2013-11-22,JD,6,长江期货,822,0
2013-11-22,JD,7,光大期货,767,-9
2013-11-22,JD,8,金瑞期货,761,47
2013-11-22,JD,9,华泰长城,753,-20
2013-11-22,JD,10,南华期货,723,-28
2013-11-22,JD,11,银河期货,694,-129
2013-11-22,JD,12,大地期货,672,-116
2013-11-22,JD,13,方正期货,607,1
2013-11-22,JD,14,美尔雅期货,597,-11
2013-11-22,JD,15,瑞达期货,583,-32
2013-11-22,JD,16,中证期货,546,-52
2013-11-22,JD,17,北京首创,478,0
2013-11-22,JD,18,上海中期,453,-43
2013-11-22,JD,19,国海良时,436,-18
2013-11-22,JD,20,东证期货,431,-11
2013-11-25,JD,1,永安期货,3969,905
2013-11-25,JD,2,万达期货,2334,249
2013-11-25,JD,3,国泰君安,1724,-116
2013-11-25,JD,4,瑞达期货,1604,972
2013-11-25,JD,5,华泰长城,1455,484
2013-11-25,JD,6,光大期货,1370,432
2013-11-25,JD,7,东证期货,1244,681
2013-11-25,JD,8,南华期货,1230,507
2013-11-25,JD,9,中衍期货,1218,729
2013-11-25,JD,10,银河期货,1102,410
2013-11-25,JD,11,长江期货,1063,256
2013-11-25,JD,12,国海良时,1032,596
2013-11-25,JD,13,中证期货,973,427
2013-11-25,JD,14,一德期货,964,878
2013-11-25,JD,15,美尔雅期货,936,339
2013-11-25,JD,16,浙商期货,914,489
2013-11-25,JD,17,中投期货,780,7
2013-11-25,JD,18,广东鸿海,632,302
2013-11-25,JD,19,方正期货,623,16
2013-11-25,JD,20,弘业期货,594,452
2013-11-26,JD,1,永安期货,3702,-267
2013-11-26,JD,2,万达期货,2259,-75
2013-11-26,JD,3,瑞达期货,1705,101
2013-11-26,JD,4,国泰君安,1657,-67
2013-11-26,JD,5,华泰长城,1538,83
2013-11-26,JD,6,中衍期货,1121,-98
2013-11-26,JD,7,南华期货,1068,-162
2013-11-26,JD,8,光大期货,1049,-321
2013-11-26,JD,9,中证期货,1004,31
2013-11-26,JD,10,国海良时,991,-41
2013-11-26,JD,11,一德期货,974,10
2013-11-26,JD,12,银河期货,932,-170
2013-11-26,JD,13,长江期货,819,-244
2013-11-26,JD,14,五矿期货,776,488
2013-11-26,JD,15,浙商期货,752,-162
2013-11-26,JD,16,中投期货,741,-39
2013-11-26,JD,17,渤海期货,644,254
2013-11-26,JD,18,广东鸿海,631,-1
2013-11-26,JD,19,方正期货,621,-2
2013-11-26,JD,20,东证期货,554,-2
2013-11-27,JD,1,永安期货,3275,-427
2013-11-27,JD,2,万达期货,2352,93
2013-11-27,JD,3,瑞达期货,1614,-89
2013-11-27,JD,4,光大期货,1507,458
2013-11-27,JD,5,国泰君安,1486,-171
2013-11-27,JD,6,华泰长城,1303,-235
2013-11-27,JD,7,银河期货,1149,219
2013-11-27,JD,8,宏源期货,1086,567
2013-11-27,JD,9,中衍期货,1054,-67
2013-11-27,JD,10,南华期货,987,-81
2013-11-27,JD,11,一德期货,974,0
2013-11-27,JD,12,五矿期货,908,132
2013-11-27,JD,13,国海良时,841,-150
2013-11-27,JD,14,中证期货,837,-167
2013-11-27,JD,15,长江期货,796,-23
2013-11-27,JD,16,中投期货,738,-3
2013-11-27,JD,17,浙商期货,688,-64
2013-11-27,JD,18,渤海期货,641,-3
2013-11-27,JD,19,广东鸿海,630,-1
2013-11-27,JD,20,海通期货,616,63
2013-11-28,JD,1,永安期货,3459,184
2013-11-28,JD,2,万达期货,2437,85
2013-11-28,JD,3,光大期货,2102,595
2013-11-28,JD,4,瑞达期货,1664,50
2013-11-28,JD,5,国泰君安,1550,64
2013-11-28,JD,6,华泰长城,1435,132
2013-11-28,JD,7,银河期货,1416,267
2013-11-28,JD,8,五矿期货,1407,499
2013-11-28,JD,9,中衍期货,1209,155
2013-11-28,JD,10,南华期货,965,-22
2013-11-28,JD,11,中证期货,963,126
2013-11-28,JD,12,国海良时,960,119
2013-11-28,JD,13,长江期货,849,53
2013-11-28,JD,14,渤海期货,818,177
2013-11-28,JD,15,浙商期货,781,93
2013-11-28,JD,16,中投期货,742,4
2013-11-28,JD,17,中国国际,659,216
2013-11-28,JD,18,广东鸿海,630,0
2013-11-28,JD,19,宏源期货,618,0
2013-11-28,JD,20,方正期货,612,-1
2013-11-29,JD,1,永安期货,3310,-149
2013-11-29,JD,2,万达期货,2400,-37
2013-11-29,JD,3,光大期货,2010,-92
2013-11-29,JD,4,五矿期货,1678,271
2013-11-29,JD,5,国泰君安,1483,-66
2013-11-29,JD,6,瑞达期货,1460,-204
2013-11-29,JD,7,华泰长城,1398,-35
2013-11-29,JD,8,中衍期货,1207,-2
2013-11-29,JD,9,银河期货,1137,-278
2013-11-29,JD,10,中证期货,1050,87
2013-11-29,JD,11,美尔雅期货,935,27
2013-11-29,JD,12,南华期货,894,-71
2013-11-29,JD,13,国海良时,863,-97
2013-11-29,JD,14,长江期货,852,3
2013-11-29,JD,15,渤海期货,828,10
2013-11-29,JD,16,浙商期货,800,19
2013-11-29,JD,17,中投期货,745,3
2013-11-29,JD,18,中国国际,648,-11
2013-11-29,JD,19,浙江中大,634,503
2013-11-29,JD,20,广东鸿海,630,0
2013-12-02,JD,1,永安期货,3455,145
2013-12-02,JD,2,万达期货,2363,-37
2013-12-02,JD,3,光大期货,2286,276
2013-12-02,JD,4,五矿期货,1937,114
2013-12-02,JD,5,国泰君安,1476,-7
2013-12-02,JD,6,瑞达期货,1451,-9
2013-12-02,JD,7,中衍期货,1192,-15
2013-12-02,JD,8,宏源期货,1144,62
2013-12-02,JD,9,华泰长城,1054,7
2013-12-02,JD,10,浙商期货,984,184
2013-12-02,JD,11,长江期货,900,48
2013-12-02,JD,12,南华期货,893,-1
2013-12-02,JD,13,国海良时,880,17
2013-12-02,JD,14,银河期货,854,-283
2013-12-02,JD,15,中证期货,815,-235
2013-12-02,JD,16,渤海期货,789,-39
2013-12-02,JD,17,中投期货,745,0
2013-12-02,JD,18,中国国际,658,10
2013-12-02,JD,19,浙江中大,626,-8
2013-12-02,JD,20,方正期货,613,0
2013-12-03,JD,1,永安期货,3719,264
2013-12-03,JD,2,光大期货,2393,107
2013-12-03,JD,3,万达期货,2200,-163
2013-12-03,JD,4,五矿期货,1923,-14
2013-12-03,JD,5,银河期货,1237,383
2013-12-03,JD,6,国泰君安,1236,-240
2013-12-03,JD,7,中衍期货,1234,42
2013-12-03,JD,8,浙江新世纪,1176,963
2013-12-03,JD,9,南华期货,1127,234
2013-12-03,JD,10,一德期货,1050,89
2013-12-03,JD,11,华泰长城,1050,-4
2013-12-03,JD,12,浙商期货,977,-4
2013-12-03,JD,13,国海良时,970,90
2013-12-03,JD,14,长江期货,924,24
2013-12-03,JD,15,格林期货,902,82
2013-12-03,JD,16,中国国际,850,192
2013-12-03,JD,17,中证期货,819,4
2013-12-03,JD,18,渤海期货,792,3
2013-12-03,JD,19,中投期货,744,-1
2013-12-03,JD,20,浙江中大,683,57
2013-12-04,JD,1,永安期货,3788,69
2013-12-04,JD,2,光大期货,2449,56
2013-12-04,JD,3,五矿期货,2180,257
2013-12-04,JD,4,万达期货,2135,-65
2013-12-04,JD,5,浙江新世纪,1603,427
2013-12-04,JD,6,浙商期货,1401,424
2013-12-04,JD,7,中衍期货,1202,-31
2013-12-04,JD,8,南华期货,1183,56
2013-12-04,JD,9,一德期货,1017,-33
2013-12-04,JD,10,华泰长城,999,-51
2013-12-04,JD,11,国海良时,982,12
2013-12-04,JD,12,长江期货,932,8
2013-12-04,JD,13,中证期货,907,88
2013-12-04,JD,14,银河期货,881,-356
2013-12-04,JD,15,渤海期货,781,-11
2013-12-04,JD,16,中投期货,744,0
2013-12-04,JD,17,浙江中大,684,1
2013-12-04,JD,18,上海中期,677,266
2013-12-04,JD,19,国泰君安,649,3
2013-12-04,JD,20,安信期货,636,67
2013-12-05,JD,1,永安期货,3824,36
2013-12-05,JD,2,光大期货,2512,63
2013-12-05,JD,3,五矿期货,2298,118
2013-12-05,JD,4,万达期货,2137,2
2013-12-05,JD,5,浙江新世纪,1727,124
2013-12-05,JD,6,中衍期货,1182,-20
2013-12-05,JD,7,瑞达期货,1125,-14
2013-12-05,JD,8,国海良时,1062,80
2013-12-05,JD,9,南华期货,1054,-129
2013-12-05,JD,10,一德期货,1036,19
2013-12-05,JD,11,华泰长城,1013,14
2013-12-05,JD,12,浙商期货,959,-442
2013-12-05,JD,13,长江期货,956,24
2013-12-05,JD,14,中证期货,911,4
2013-12-05,JD,15,银河期货,848,-33
2013-12-05,JD,16,渤海期货,778,-3
2013-12-05,JD,17,中投期货,743,-1
2013-12-05,JD,18,浙江中大,693,9
2013-12-05,JD,19,国泰君安,652,3
2013-12-05,JD,20,宏源期货,645,26
2013-12-06,JD,1,永安期货,4173,349
2013-12-06,JD,2,光大期货,2547,35
2013-12-06,JD,3,五矿期货,2437,139
2013-12-06,JD,4,万达期货,2113,-24
2013-12-06,JD,5,浙江新世纪,1614,-113
2013-12-06,JD,6,瑞达期货,1153,28
2013-12-06,JD,7,一德期货,1026,-10
2013-12-06,JD,8,华泰长城,1025,12
2013-12-06,JD,9,南华期货,892,-162
2013-12-06,JD,10,美尔雅期货,881,16
2013-12-06,JD,11,银河期货,873,25
2013-12-06,JD,12,长江期货,867,-89
2013-12-06,JD,13,浙商期货,834,-125
2013-12-06,JD,14,中证期货,813,-98
2013-12-06,JD,15,渤海期货,767,-11
2013-12-06,JD,16,中投期货,743,0
2013-12-06,JD,17,宏源期货,648,3
2013-12-06,JD,18,国泰君安,643,-9
2013-12-06,JD,19,国海良时,604,-458
2013-12-06,JD,20,方正期货,603,-2
2013-12-09,JD,1,永安期货,4127,-46
2013-12-09,JD,2,光大期货,2531,-16
2013-12-09,JD,3,五矿期货,2387,-50
2013-12-09,JD,4,万达期货,2102,-11
2013-12-09,JD,5,浙江新世纪,1614,0
2013-12-09,JD,6,瑞达期货,1109,-44
2013-12-09,JD,7,华泰长城,1103,78
2013-12-09,JD,8,中衍期货,1073,43
2013-12-09,JD,9,一德期货,968,-58
2013-12-09,JD,10,美尔雅期货,910,29
2013-12-09,JD,11,长江期货,893,26
2013-12-09,JD,12,银河期货,863,-10
2013-12-09,JD,13,中证期货,791,-22
2013-12-09,JD,14,渤海期货,765,-2
2013-12-09,JD,15,浙商期货,749,-85
2013-12-09,JD,16,中投期货,742,-1
2013-12-09,JD,17,宏源期货,653,5
2013-12-09,JD,18,国泰君安,644,1
2013-12-09,JD,19,国海良时,629,25
2013-12-09,JD,20,方正期货,603,0
2013-12-10,JD,1,永安期货,4203,76
2013-12-10,JD,2,光大期货,2688,157
2013-12-10,JD,3,五矿期货,2473,86
2013-12-10,JD,4,万达期货,2115,13
2013-12-10,JD,5,浙江新世纪,1665,51
2013-12-10,JD,6,宏源期货,1179,40
2013-12-10,JD,7,中衍期货,1158,85
2013-12-10,JD,8,华泰长城,1148,45
2013-12-10,JD,9,瑞达期货,1140,31
2013-12-10,JD,10,长江期货,1004,111
2013-12-10,JD,11,美尔雅期货,926,16
2013-12-10,JD,12,一德期货,902,-66
2013-12-10,JD,13,中证期货,823,32
2013-12-10,JD,14,银河期货,810,-53
2013-12-10,JD,15,渤海期货,789,24
2013-12-10,JD,16,浙商期货,768,19
2013-12-10,JD,17,中投期货,742,0
2013-12-10,JD,18,国海良时,700,71
2013-12-10,JD,19,国泰君安,647,3
2013-12-10,JD,20,方正期货,604,1
2013-12-11,JD,1,永安期货,4039,-164
2013-12-11,JD,2,光大期货,2661,-27
2013-12-11,JD,3,五矿期货,2547,74
2013-12-11,JD,4,万达期货,2104,-11
2013-12-11,JD,5,浙江新世纪,1585,-80
2013-12-11,JD,6,华泰长城,1313,165
2013-12-11,JD,7,中衍期货,1151,-7
2013-12-11,JD,8,瑞达期货,1131,-9
2013-12-11,JD,9,长江期货,1031,27
2013-12-11,JD,10,美尔雅期货,936,10
2013-12-11,JD,11,浙商期货,917,149
2013-12-11,JD,12,南华期货,890,85
2013-12-11,JD,13,银河期货,828,18
2013-12-11,JD,14,中证期货,823,0
2013-12-11,JD,15,渤海期货,799,10
2013-12-11,JD,16,中投期货,742,0
2013-12-11,JD,17,宏源期货,653,-19
2013-12-11,JD,18,国泰君安,648,1
2013-12-11,JD,19,方正期货,604,0
2013-12-11,JD,20,浙江中大,580,0
2013-12-12,JD,1,永安期货,3820,-219
2013-12-12,JD,2,五矿期货,2457,-90
2013-12-12,JD,3,光大期货,2287,-374
2013-12-12,JD,4,万达期货,2046,-58
2013-12-12,JD,5,浙江新世纪,1528,-57
2013-12-12,JD,6,华泰长城,1489,176
2013-12-12,JD,7,国泰君安,1313,176
2013-12-12,JD,8,中衍期货,1140,-11
2013-12-12,JD,9,瑞达期货,1127,-4
2013-12-12,JD,10,长江期货,1043,12
2013-12-12,JD,11,中证期货,949,126
2013-12-12,JD,12,银河期货,921,93
2013-12-12,JD,13,浙商期货,920,3
2013-12-12,JD,14,南华期货,891,1
2013-12-12,JD,15,渤海期货,798,-1
2013-12-12,JD,16,中投期货,741,-1
2013-12-12,JD,17,安信期货,648,109
2013-12-12,JD,18,宏源期货,626,-27
2013-12-12,JD,19,方正期货,603,-1
2013-12-12,JD,20,国海良时,567,27
2013-12-13,JD,1,永安期货,3783,-35
2013-12-13,JD,2,光大期货,2351,64
2013-12-13,JD,3,五矿期货,2112,-345
2013-12-13,JD,4,万达期货,2009,-37
2013-12-13,JD,5,浙江新世纪,1458,-70
2013-12-13,JD,6,华泰长城,1276,-213
2013-12-13,JD,7,宏源期货,1225,126
2013-12-13,JD,8,国泰君安,1184,-129
2013-12-13,JD,9,瑞达期货,1158,32
2013-12-13,JD,10,中证期货,974,25
2013-12-13,JD,11,长江期货,973,-70
2013-12-13,JD,12,海通期货,933,207
2013-12-13,JD,13,一德期货,912,2
2013-12-13,JD,14,美尔雅期货,864,-45
2013-12-13,JD,15,银河期货,833,-88
2013-12-13,JD,16,徽商期货,829,309
2013-12-13,JD,17,浙商期货,826,-94
2013-12-13,JD,18,渤海期货,770,-28
2013-12-13,JD,19,安信期货,739,91
2013-12-13,JD,20,中投期货,739,-2
2013-12-16,JD,1,永安期货,3981,198
2013-12-16,JD,2,光大期货,2472,121
2013-12-16,JD,3,五矿期货,2112,0
2013-12-16,JD,4,万达期货,1988,-21
2013-12-16,JD,5,华泰长城,1594,318
2013-12-16,JD,6,浙江新世纪,1451,-7
2013-12-16,JD,7,宏源期货,1241,16
2013-12-16,JD,8,瑞达期货,1228,70
2013-12-16,JD,9,长江期货,991,18
2013-12-16,JD,10,中证期货,990,16
2013-12-16,JD,11,一德期货,971,59
2013-12-16,JD,12,美尔雅期货,932,68
2013-12-16,JD,13,浙商期货,883,57
2013-12-16,JD,14,南华期货,830,61
2013-12-16,JD,15,银河期货,775,-58
2013-12-16,JD,16,渤海期货,771,1
2013-12-16,JD,17,中投期货,714,-25
2013-12-16,JD,18,国泰君安,636,-5
2013-12-16,JD,19,中衍期货,612,2
2013-12-16,JD,20,方正期货,604,-3
2013-12-17,JD,1,永安期货,3858,-123
2013-12-17,JD,2,光大期货,2414,-58
2013-12-17,JD,3,五矿期货,2095,-17
2013-12-17,JD,4,万达期货,1930,-58
2013-12-17,JD,5,华泰长城,1765,171
2013-12-17,JD,6,浙江新世纪,1449,-2
2013-12-17,JD,7,宏源期货,1216,-25
2013-12-17,JD,8,瑞达期货,1163,-64
2013-12-17,JD,9,国泰君安,1150,51
2013-12-17,JD,10,长江期货,994,3
2013-12-17,JD,11,一德期货,984,15
2013-12-17,JD,12,浙商期货,912,29
2013-12-17,JD,13,北京首创,837,-13
2013-12-17,JD,14,渤海期货,770,-1
2013-12-17,JD,15,中证期货,747,-243
2013-12-17,JD,16,中投期货,702,-10
2013-12-17,JD,17,银河期货,652,-123
2013-12-17,JD,18,中衍期货,611,-1
2013-12-17,JD,19,方正期货,605,1
2013-12-17,JD,20,广东鸿海,579,-2
2013-12-18,JD,1,永安期货,3890,32
2013-12-18,JD,2,光大期货,2465,51
2013-12-18,JD,3,华泰长城,2128,64
2013-12-18,JD,4,五矿期货,2085,-10
2013-12-18,JD,5,万达期货,1926,-4
2013-12-18,JD,6,浙江新世纪,1450,1
2013-12-18,JD,7,宏源期货,1241,25
2013-12-18,JD,8,国泰君安,1173,23
2013-12-18,JD,9,瑞达期货,1074,-89
2013-12-18,JD,10,长江期货,1020,26
2013-12-18,JD,11,一德期货,998,14
2013-12-18,JD,12,浙商期货,888,-24
2013-12-18,JD,13,中证期货,858,111
2013-12-18,JD,14,渤海期货,770,0
2013-12-18,JD,15,中投期货,713,11
2013-12-18,JD,16,银河期货,673,21
2013-12-18,JD,17,中衍期货,608,-3
2013-12-18,JD,18,方正期货,604,-1
2013-12-18,JD,19,申银万国,547,1
2013-12-18,JD,20,徽商期货,543,2
2013-12-19,JD,1,永安期货,3879,-11
2013-12-19,JD,2,光大期货,2514,49
2013-12-19,JD,3,华泰长城,2210,83
2013-12-19,JD,4,万达期货,1877,-49
2013-12-19,JD,5,五矿期货,1770,-315
2013-12-19,JD,6,徽商期货,1620,1034
2013-12-19,JD,7,浙江新世纪,1494,44
2013-12-19,JD,8,浙商期货,1428,540
2013-12-19,JD,9,国泰君安,1333,160
2013-12-19,JD,10,宏源期货,1310,69
2013-12-19,JD,11,长江期货,1224,204
2013-12-19,JD,12,瑞达期货,996,-78
2013-12-19,JD,13,美尔雅期货,970,430
2013-12-19,JD,14,中证期货,957,99
2013-12-19,JD,15,海通期货,943,538
2013-12-19,JD,16,一德期货,935,-63
2013-12-19,JD,17,申银万国,838,291
2013-12-19,JD,18,中投期货,830,117
2013-12-19,JD,19,银河期货,809,142
2013-12-19,JD,20,渤海期货,715,-55
2013-12-20,JD,1,永安期货,3858,-21
2013-12-20,JD,2,光大期货,2456,-58
2013-12-20,JD,3,华泰长城,2184,-26
2013-12-20,JD,4,万达期货,1731,-146
2013-12-20,JD,5,浙江新世纪,1667,173
2013-12-20,JD,6,浙商期货,1471,43
2013-12-20,JD,7,五矿期货,1377,-393
2013-12-20,JD,8,长江期货,1335,-87
2013-12-20,JD,9,国泰君安,1202,-131
2013-12-20,JD,10,宏源期货,1179,-131
2013-12-20,JD,11,银河期货,1013,152
2013-12-20,JD,12,瑞达期货,1008,16
2013-12-20,JD,13,一德期货,911,-24
2013-12-20,JD,14,中投期货,832,2
2013-12-20,JD,15,海通期货,763,-180
2013-12-20,JD,16,渤海期货,695,-20
2013-12-20,JD,17,方正期货,623,3
2013-12-20,JD,18,申银万国,608,-230
2013-12-20,JD,19,徽商期货,532,-730
2013-12-20,JD,20,中国国际,516,-45
2013-12-23,JD,1,永安期货,4403,545
2013-12-23,JD,2,光大期货,2517,61
2013-12-23,JD,3,华泰长城,2309,125
